Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 12,12,0.3994,0.0045,0.3817,MERT,MSP-Podcast,5
Layer 13,13,0.3932,0.0025,0.3763,MERT,MSP-Podcast,5
Layer 14,14,0.3985,0.0039,0.3813,MERT,MSP-Podcast,5
Layer 15,15,0.3939,0.0066,0.3776,MERT,MSP-Podcast,5
Layer 16,16,0.3986,0.0051,0.3822,MERT,MSP-Podcast,5
Layer 17,17,0.3933,0.0086,0.3778,MERT,MSP-Podcast,5
Layer 18,18,0.3896,0.0045,0.3751,MERT,MSP-Podcast,5
Layer 19,19,0.3874,0.0017,0.3721,MERT,MSP-Podcast,5
Layer 20,20,0.3926,0.0039,0.3777,MERT,MSP-Podcast,5
Layer 21,21,0.3914,0.0025,0.3746,MERT,MSP-Podcast,5
Layer 22,22,0.3875,0.0068,0.3723,MERT,MSP-Podcast,5
Layer 23,23,0.3887,0.0033,0.373,MERT,MSP-Podcast,5
Layer 24,24,0.3928,0.0024,0.3758,MERT,MSP-Podcast,5
