Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
Layer 21,21,0.833,0.8328,0.0,0.0,0.0,0.833,0.0,0.0,6,Whisper,MESD
Layer 22,22,0.8307,0.8297,0.0,0.0,0.0,0.8307,0.0,0.0,6,Whisper,MESD
Layer 23,23,0.8202,0.8189,0.0,0.0,0.0,0.8202,0.0,0.0,6,Whisper,MESD
Layer 24,24,0.8167,0.8155,0.0,0.0,0.0,0.8167,0.0,0.0,6,Whisper,MESD
CNN,0,0.8623,0.8627,0.5009,0.1027,0.504,0.3614,0.2167,0.7333,24,WavLM,RAVDESS
Layer 1,1,0.9292,0.9292,0.6239,0.1238,0.6259,0.3053,0.2833,0.8417,24,WavLM,RAVDESS
Layer 2,2,0.9335,0.9335,0.671,0.1056,0.6737,0.2625,0.3833,0.9,24,WavLM,RAVDESS
Layer 3,3,0.9499,0.9502,0.6956,0.1177,0.6988,0.2543,0.3667,0.9,24,WavLM,RAVDESS
Layer 4,4,0.9529,0.9529,0.725,0.1131,0.7266,0.2279,0.3833,0.9167,24,WavLM,RAVDESS
Layer 5,5,0.9542,0.9542,0.7327,0.121,0.7358,0.2215,0.35,0.8833,24,WavLM,RAVDESS
Layer 6,6,0.9607,0.9608,0.7694,0.108,0.7693,0.1913,0.5,0.9333,24,WavLM,RAVDESS
Layer 7,7,0.9616,0.9616,0.7699,0.1128,0.77,0.1917,0.4833,0.9271,24,WavLM,RAVDESS
Layer 8,8,0.9603,0.9603,0.7832,0.1034,0.7845,0.1771,0.5333,0.9792,24,WavLM,RAVDESS
Layer 9,9,0.9663,0.9663,0.7962,0.0973,0.7977,0.1701,0.55,0.9062,24,WavLM,RAVDESS
Layer 10,10,0.9702,0.9702,0.7979,0.1094,0.7996,0.1723,0.55,0.9583,24,WavLM,RAVDESS
Layer 11,11,0.9663,0.9664,0.8014,0.1037,0.8018,0.1649,0.5583,0.9375,24,WavLM,RAVDESS
Layer 12,12,0.9698,0.9699,0.7988,0.1035,0.7996,0.171,0.55,0.9167,24,WavLM,RAVDESS
Layer 13,13,0.9693,0.9694,0.8027,0.1143,0.8036,0.1666,0.525,0.9333,24,WavLM,RAVDESS
Layer 14,14,0.9672,0.9673,0.7854,0.1086,0.7855,0.1818,0.55,0.9333,24,WavLM,RAVDESS
Layer 15,15,0.9672,0.9673,0.7807,0.1208,0.7811,0.1865,0.4833,0.925,24,WavLM,RAVDESS
Layer 16,16,0.9655,0.9656,0.7936,0.115,0.7944,0.1719,0.5333,0.9333,24,WavLM,RAVDESS
Layer 17,17,0.962,0.9621,0.794,0.1123,0.795,0.168,0.4833,0.925,24,WavLM,RAVDESS
Layer 18,18,0.9559,0.9561,0.7802,0.1059,0.7815,0.1757,0.5333,0.9,24,WavLM,RAVDESS
Layer 19,19,0.962,0.962,0.7677,0.1191,0.7681,0.1943,0.4833,0.9083,24,WavLM,RAVDESS
Layer 20,20,0.9568,0.9569,0.7815,0.1124,0.7818,0.1753,0.5333,0.9417,24,WavLM,RAVDESS
Layer 21,21,0.9555,0.9556,0.7599,0.1063,0.7595,0.1956,0.4833,0.9167,24,WavLM,RAVDESS
Layer 22,22,0.956,0.956,0.7655,0.1104,0.7658,0.1905,0.4333,0.925,24,WavLM,RAVDESS
Layer 23,23,0.9482,0.9481,0.7422,0.1,0.7427,0.206,0.4667,0.9,24,WavLM,RAVDESS
Layer 24,24,0.946,0.9462,0.7414,0.1016,0.7409,0.2046,0.45,0.9,24,WavLM,RAVDESS
CNN,0,0.8879,0.8862,0.7664,0.0577,0.7603,0.1215,0.7143,0.8947,10,WavLM,EmoDB
Layer 1,1,0.9458,0.9455,0.843,0.0629,0.841,0.1028,0.7429,0.971,10,WavLM,EmoDB
Layer 2,2,0.9626,0.9624,0.914,0.0406,0.9132,0.0486,0.8367,0.971,10,WavLM,EmoDB
Layer 3,3,0.9738,0.9737,0.9308,0.038,0.9305,0.043,0.8684,0.9855,10,WavLM,EmoDB
Layer 4,4,0.9757,0.9756,0.9402,0.0277,0.9397,0.0355,0.8776,0.9855,10,WavLM,EmoDB
Layer 5,5,0.9794,0.9793,0.9421,0.0314,0.9414,0.0373,0.907,1.0,10,WavLM,EmoDB
Layer 6,6,0.9813,0.9812,0.9607,0.0209,0.9606,0.0206,0.9388,1.0,10,WavLM,EmoDB
Layer 7,7,0.9813,0.9812,0.9458,0.0342,0.9458,0.0355,0.898,1.0,10,WavLM,EmoDB
Layer 8,8,0.9869,0.9869,0.9458,0.0306,0.9457,0.0411,0.9014,1.0,10,WavLM,EmoDB
Layer 9,9,0.9794,0.9795,0.9533,0.0373,0.9532,0.0261,0.8947,1.0,10,WavLM,EmoDB
Layer 10,10,0.985,0.9849,0.9551,0.0273,0.9551,0.0299,0.9155,1.0,10,WavLM,EmoDB
Layer 11,11,0.9776,0.9776,0.9514,0.03,0.9512,0.0262,0.898,1.0,10,WavLM,EmoDB
Layer 12,12,0.9776,0.9774,0.9551,0.0307,0.9547,0.0225,0.9016,1.0,10,WavLM,EmoDB
Layer 13,13,0.9701,0.97,0.9477,0.0298,0.9473,0.0224,0.9016,1.0,10,WavLM,EmoDB
Layer 14,14,0.9682,0.968,0.9458,0.0259,0.9454,0.0224,0.9016,0.9855,10,WavLM,EmoDB
Layer 15,15,0.9664,0.9663,0.9439,0.0351,0.9435,0.0225,0.8684,1.0,10,WavLM,EmoDB
Layer 16,16,0.9589,0.9588,0.9439,0.0363,0.9434,0.015,0.8929,1.0,10,WavLM,EmoDB
Layer 17,17,0.9645,0.9643,0.9439,0.0321,0.9436,0.0206,0.8929,1.0,10,WavLM,EmoDB
Layer 18,18,0.9701,0.9699,0.9421,0.0394,0.9418,0.028,0.8684,0.9855,10,WavLM,EmoDB
Layer 19,19,0.9682,0.9679,0.9421,0.0268,0.9416,0.0261,0.9016,0.9818,10,WavLM,EmoDB
Layer 20,20,0.9664,0.9661,0.9402,0.0327,0.9398,0.0262,0.8852,0.9818,10,WavLM,EmoDB
Layer 21,21,0.9589,0.9586,0.9308,0.0286,0.9308,0.0281,0.8929,0.9818,10,WavLM,EmoDB
Layer 22,22,0.957,0.9566,0.9215,0.0356,0.921,0.0355,0.8421,0.9714,10,WavLM,EmoDB
Layer 23,23,0.9477,0.9471,0.9159,0.0503,0.9155,0.0318,0.7895,0.9714,10,WavLM,EmoDB
Layer 24,24,0.9477,0.947,0.9196,0.0498,0.9193,0.0281,0.7895,0.9714,10,WavLM,EmoDB
CNN,0,0.6542,0.6535,0.6057,0.0312,0.6048,0.0485,0.5648,0.662,10,WavLM,IEMOCAP
Layer 1,1,0.6661,0.666,0.6099,0.0309,0.6095,0.0562,0.5725,0.668,10,WavLM,IEMOCAP
Layer 2,2,0.6817,0.6815,0.6249,0.0273,0.6243,0.0568,0.5831,0.6699,10,WavLM,IEMOCAP
Layer 3,3,0.6742,0.6741,0.633,0.0218,0.6328,0.0412,0.6081,0.6679,10,WavLM,IEMOCAP
Layer 4,4,0.6639,0.6638,0.6249,0.026,0.6248,0.039,0.5857,0.6621,10,WavLM,IEMOCAP
Layer 5,5,0.669,0.6688,0.63,0.0295,0.6298,0.039,0.5593,0.6661,10,WavLM,IEMOCAP
Layer 6,6,0.6727,0.6727,0.6317,0.0312,0.6314,0.041,0.58,0.69,10,WavLM,IEMOCAP
Layer 7,7,0.6692,0.6695,0.6348,0.0298,0.6346,0.0344,0.5913,0.6993,10,WavLM,IEMOCAP
Layer 8,8,0.6769,0.6773,0.6419,0.023,0.6419,0.035,0.5989,0.6845,10,WavLM,IEMOCAP
Layer 9,9,0.6817,0.6817,0.6639,0.0383,0.664,0.0178,0.5951,0.7214,10,WavLM,IEMOCAP
Layer 10,10,0.6848,0.6846,0.6526,0.0356,0.652,0.0322,0.6008,0.7214,10,WavLM,IEMOCAP
Layer 11,11,0.6832,0.6831,0.6474,0.0319,0.6472,0.0358,0.6026,0.7048,10,WavLM,IEMOCAP
Layer 12,12,0.6819,0.6819,0.6555,0.0244,0.6554,0.0264,0.6287,0.7159,10,WavLM,IEMOCAP
Layer 13,13,0.6841,0.6841,0.6529,0.0377,0.6525,0.0312,0.5782,0.714,10,WavLM,IEMOCAP
Layer 14,14,0.6833,0.6834,0.6487,0.0301,0.6484,0.0346,0.5932,0.7048,10,WavLM,IEMOCAP
Layer 15,15,0.6791,0.6793,0.6505,0.036,0.6505,0.0286,0.5876,0.7103,10,WavLM,IEMOCAP
Layer 16,16,0.6852,0.6851,0.6634,0.0334,0.663,0.0218,0.6177,0.7399,10,WavLM,IEMOCAP
Layer 17,17,0.6857,0.6858,0.6654,0.0302,0.6654,0.0203,0.6215,0.7159,10,WavLM,IEMOCAP
Layer 18,18,0.6802,0.6801,0.6495,0.0307,0.6492,0.0307,0.6064,0.7066,10,WavLM,IEMOCAP
Layer 19,19,0.6835,0.6833,0.6579,0.0286,0.6577,0.0256,0.6196,0.7306,10,WavLM,IEMOCAP
Layer 20,20,0.674,0.6738,0.659,0.0318,0.6586,0.015,0.6083,0.7177,10,WavLM,IEMOCAP
Layer 21,21,0.6848,0.6847,0.6672,0.0308,0.6669,0.0176,0.6168,0.7012,10,WavLM,IEMOCAP
Layer 22,22,0.6892,0.6895,0.672,0.0303,0.6718,0.0172,0.6248,0.7148,10,WavLM,IEMOCAP
Layer 23,23,0.6733,0.6733,0.648,0.0312,0.6475,0.0253,0.5968,0.7119,10,WavLM,IEMOCAP
Layer 24,24,0.6663,0.6664,0.643,0.0292,0.6428,0.0233,0.5932,0.69,10,WavLM,IEMOCAP
CNN,0,0.75,0.7476,0.4062,0.1289,0.4065,0.3438,0.2083,0.525,4,WavLM,SAVEE
Layer 1,1,0.8,0.798,0.5333,0.1433,0.5273,0.2667,0.375,0.7,4,WavLM,SAVEE
Layer 2,2,0.8417,0.8413,0.5375,0.1449,0.5186,0.3042,0.3583,0.7,4,WavLM,SAVEE
Layer 3,3,0.8458,0.8453,0.6125,0.1537,0.5935,0.2333,0.4,0.775,4,WavLM,SAVEE
Layer 4,4,0.8542,0.8526,0.5896,0.1663,0.5722,0.2646,0.3917,0.7583,4,WavLM,SAVEE
Layer 5,5,0.8604,0.8583,0.6125,0.1623,0.6061,0.2479,0.375,0.7667,4,WavLM,SAVEE
Layer 6,6,0.8875,0.8868,0.625,0.1415,0.6161,0.2625,0.4,0.775,4,WavLM,SAVEE
Layer 7,7,0.875,0.8746,0.6604,0.1529,0.6497,0.2146,0.4167,0.8333,4,WavLM,SAVEE
Layer 8,8,0.8771,0.8764,0.6979,0.1493,0.6853,0.1792,0.45,0.85,4,WavLM,SAVEE
Layer 9,9,0.8667,0.866,0.6813,0.1449,0.6706,0.1854,0.4333,0.8,4,WavLM,SAVEE
Layer 10,10,0.8542,0.8541,0.6958,0.1519,0.6851,0.1584,0.4417,0.8417,4,WavLM,SAVEE
Layer 11,11,0.8438,0.843,0.6813,0.1479,0.6715,0.1624,0.45,0.8333,4,WavLM,SAVEE
Layer 12,12,0.8312,0.8305,0.7146,0.1433,0.7072,0.1167,0.4667,0.8083,4,WavLM,SAVEE
Layer 13,13,0.8438,0.8435,0.7438,0.1445,0.7357,0.0999,0.5,0.875,4,WavLM,SAVEE
Layer 14,14,0.8417,0.8425,0.7583,0.1017,0.7511,0.0834,0.5833,0.8333,4,WavLM,SAVEE
Layer 15,15,0.8521,0.8529,0.8,0.1156,0.7956,0.0521,0.6083,0.9167,4,WavLM,SAVEE
Layer 16,16,0.8583,0.8586,0.7979,0.1264,0.7934,0.0604,0.5917,0.9167,4,WavLM,SAVEE
Layer 17,17,0.8833,0.8832,0.8229,0.1013,0.8199,0.0604,0.65,0.9083,4,WavLM,SAVEE
Layer 18,18,0.8667,0.8669,0.8438,0.0987,0.8417,0.0229,0.675,0.9167,4,WavLM,SAVEE
Layer 19,19,0.8667,0.8662,0.8417,0.0941,0.8395,0.025,0.6833,0.9167,4,WavLM,SAVEE
Layer 20,20,0.8458,0.8468,0.8271,0.1096,0.8248,0.0187,0.6417,0.925,4,WavLM,SAVEE
Layer 21,21,0.8458,0.8458,0.7854,0.13,0.7818,0.0604,0.5833,0.9417,4,WavLM,SAVEE
Layer 22,22,0.8292,0.8267,0.7042,0.1579,0.6966,0.125,0.4417,0.8583,4,WavLM,SAVEE
Layer 23,23,0.8083,0.8086,0.6792,0.1609,0.6685,0.1291,0.4167,0.85,4,WavLM,SAVEE
Layer 24,24,0.8208,0.8207,0.7208,0.1489,0.7132,0.1,0.4833,0.8917,4,WavLM,SAVEE
CNN,0,0.8113,0.8114,0.6705,0.144,0.6729,0.1408,0.4407,1.0,15,WavLM,AESDD
Layer 1,1,0.8642,0.8641,0.7368,0.1372,0.7397,0.1274,0.5,1.0,15,WavLM,AESDD
Layer 2,2,0.8758,0.8755,0.7483,0.1251,0.7482,0.1275,0.5085,1.0,15,WavLM,AESDD
Layer 3,3,0.899,0.8989,0.8046,0.1321,0.8054,0.0944,0.5,1.0,15,WavLM,AESDD
Layer 4,4,0.9189,0.9185,0.8195,0.1034,0.8193,0.0994,0.6271,1.0,15,WavLM,AESDD
Layer 5,5,0.9255,0.9253,0.8444,0.097,0.8441,0.0811,0.6441,1.0,15,WavLM,AESDD
Layer 6,6,0.9454,0.9451,0.8692,0.0625,0.8692,0.0762,0.7119,1.0,15,WavLM,AESDD
Layer 7,7,0.947,0.9468,0.8626,0.0867,0.8628,0.0844,0.6667,1.0,15,WavLM,AESDD
Layer 8,8,0.9404,0.9398,0.8543,0.0797,0.854,0.0861,0.6949,1.0,15,WavLM,AESDD
Layer 9,9,0.9504,0.9502,0.8659,0.0689,0.8657,0.0845,0.7627,1.0,15,WavLM,AESDD
Layer 10,10,0.9421,0.9417,0.8626,0.0874,0.8625,0.0795,0.6667,1.0,15,WavLM,AESDD
Layer 11,11,0.9421,0.9417,0.8278,0.0933,0.8277,0.1143,0.6667,1.0,15,WavLM,AESDD
Layer 12,12,0.9338,0.9335,0.8162,0.1161,0.8149,0.1176,0.5556,1.0,15,WavLM,AESDD
Layer 13,13,0.9222,0.9216,0.7897,0.1166,0.7894,0.1325,0.5556,1.0,15,WavLM,AESDD
Layer 14,14,0.9321,0.9317,0.7765,0.1216,0.7759,0.1556,0.5,1.0,15,WavLM,AESDD
Layer 15,15,0.9255,0.9254,0.755,0.1205,0.753,0.1705,0.5,1.0,15,WavLM,AESDD
Layer 16,16,0.9239,0.9237,0.7384,0.1405,0.7378,0.1855,0.4444,1.0,15,WavLM,AESDD
Layer 17,17,0.909,0.9089,0.7219,0.1534,0.7199,0.1871,0.3519,1.0,15,WavLM,AESDD
Layer 18,18,0.914,0.9139,0.7235,0.1497,0.7226,0.1905,0.3704,1.0,15,WavLM,AESDD
Layer 19,19,0.9023,0.9026,0.7053,0.1608,0.7063,0.197,0.4074,1.0,15,WavLM,AESDD
Layer 20,20,0.9073,0.9072,0.6921,0.1484,0.6921,0.2152,0.4444,1.0,15,WavLM,AESDD
Layer 21,21,0.9056,0.906,0.6921,0.1515,0.6924,0.2135,0.4074,1.0,15,WavLM,AESDD
Layer 22,22,0.8874,0.887,0.6722,0.1321,0.6755,0.2152,0.4259,1.0,15,WavLM,AESDD
Layer 23,23,0.8874,0.8868,0.654,0.1602,0.6543,0.2334,0.3519,1.0,15,WavLM,AESDD
Layer 24,24,0.8874,0.8863,0.6606,0.1499,0.6623,0.2268,0.4074,1.0,15,WavLM,AESDD
CNN,0,0.7796,0.7785,0.0,0.0,0.0,0.7796,0.0,0.0,6,WavLM,MESD
Layer 1,1,0.8631,0.8633,0.0,0.0,0.0,0.8631,0.0,0.0,6,WavLM,MESD
Layer 2,2,0.8979,0.8975,0.0,0.0,0.0,0.8979,0.0,0.0,6,WavLM,MESD
Layer 3,3,0.8921,0.8915,0.0,0.0,0.0,0.8921,0.0,0.0,6,WavLM,MESD
Layer 4,4,0.8956,0.8954,0.0,0.0,0.0,0.8956,0.0,0.0,6,WavLM,MESD
Layer 5,5,0.9107,0.9104,0.0,0.0,0.0,0.9107,0.0,0.0,6,WavLM,MESD
Layer 6,6,0.9096,0.9094,0.0,0.0,0.0,0.9096,0.0,0.0,6,WavLM,MESD
Layer 7,7,0.9246,0.9245,0.0,0.0,0.0,0.9246,0.0,0.0,6,WavLM,MESD
Layer 8,8,0.9154,0.9148,0.0,0.0,0.0,0.9154,0.0,0.0,6,WavLM,MESD
Layer 9,9,0.8991,0.899,0.0,0.0,0.0,0.8991,0.0,0.0,6,WavLM,MESD
Layer 10,10,0.8829,0.8822,0.0,0.0,0.0,0.8829,0.0,0.0,6,WavLM,MESD
Layer 11,11,0.8817,0.8808,0.0,0.0,0.0,0.8817,0.0,0.0,6,WavLM,MESD
Layer 12,12,0.8666,0.8655,0.0,0.0,0.0,0.8666,0.0,0.0,6,WavLM,MESD
Layer 13,13,0.8411,0.84,0.0,0.0,0.0,0.8411,0.0,0.0,6,WavLM,MESD
Layer 14,14,0.8144,0.813,0.0,0.0,0.0,0.8144,0.0,0.0,6,WavLM,MESD
Layer 15,15,0.8051,0.8044,0.0,0.0,0.0,0.8051,0.0,0.0,6,WavLM,MESD
Layer 16,16,0.804,0.8035,0.0,0.0,0.0,0.804,0.0,0.0,6,WavLM,MESD
Layer 17,17,0.7982,0.7977,0.0,0.0,0.0,0.7982,0.0,0.0,6,WavLM,MESD
Layer 18,18,0.797,0.7961,0.0,0.0,0.0,0.797,0.0,0.0,6,WavLM,MESD
Layer 19,19,0.7936,0.7925,0.0,0.0,0.0,0.7936,0.0,0.0,6,WavLM,MESD
Layer 20,20,0.7761,0.7764,0.0,0.0,0.0,0.7761,0.0,0.0,6,WavLM,MESD
Layer 21,21,0.7715,0.7703,0.0,0.0,0.0,0.7715,0.0,0.0,6,WavLM,MESD
Layer 22,22,0.7633,0.7622,0.0,0.0,0.0,0.7633,0.0,0.0,6,WavLM,MESD
Layer 23,23,0.7402,0.7393,0.0,0.0,0.0,0.7402,0.0,0.0,6,WavLM,MESD
Layer 24,24,0.7297,0.7291,0.0,0.0,0.0,0.7297,0.0,0.0,6,WavLM,MESD
CNN,0,0.8398,0.8405,0.4637,0.0982,0.4633,0.3761,0.25,0.6333,24,MERT,RAVDESS
Layer 1,1,0.8731,0.8732,0.487,0.12,0.4864,0.3861,0.2083,0.7167,24,MERT,RAVDESS
Layer 2,2,0.8964,0.8963,0.5734,0.1293,0.5741,0.323,0.35,0.8667,24,MERT,RAVDESS
Layer 3,3,0.9115,0.9116,0.6131,0.1101,0.6136,0.2984,0.4167,0.8417,24,MERT,RAVDESS
Layer 4,4,0.9219,0.9221,0.6192,0.1229,0.6204,0.3027,0.3667,0.8667,24,MERT,RAVDESS
Layer 5,5,0.9283,0.9284,0.6541,0.1264,0.656,0.2742,0.3333,0.8833,24,MERT,RAVDESS
Layer 6,6,0.9275,0.9274,0.6671,0.1231,0.6694,0.2604,0.2833,0.9,24,MERT,RAVDESS
Layer 7,7,0.9404,0.9403,0.6952,0.1262,0.6966,0.2452,0.3333,0.9,24,MERT,RAVDESS
Layer 8,8,0.9374,0.9375,0.6801,0.116,0.6815,0.2573,0.3833,0.9,24,MERT,RAVDESS
Layer 9,9,0.9421,0.9421,0.677,0.101,0.6778,0.2651,0.3833,0.8667,24,MERT,RAVDESS
Layer 10,10,0.9387,0.9386,0.6891,0.111,0.689,0.2496,0.35,0.85,24,MERT,RAVDESS
Layer 11,11,0.9374,0.9374,0.6878,0.116,0.688,0.2496,0.3833,0.9167,24,MERT,RAVDESS
Layer 12,12,0.9352,0.9351,0.6701,0.1151,0.6704,0.2651,0.3167,0.9167,24,MERT,RAVDESS
Layer 13,13,0.9383,0.9383,0.6559,0.1201,0.6559,0.2824,0.3667,0.8833,24,MERT,RAVDESS
Layer 14,14,0.9439,0.9439,0.6667,0.1111,0.667,0.2772,0.35,0.8667,24,MERT,RAVDESS
Layer 15,15,0.9413,0.9414,0.674,0.1211,0.6756,0.2673,0.35,0.8833,24,MERT,RAVDESS
Layer 16,16,0.943,0.9435,0.655,0.1141,0.656,0.288,0.4,0.85,24,MERT,RAVDESS
Layer 17,17,0.9404,0.9408,0.6606,0.1256,0.6609,0.2798,0.3333,0.85,24,MERT,RAVDESS
Layer 18,18,0.927,0.927,0.6563,0.1117,0.6562,0.2707,0.3667,0.8333,24,MERT,RAVDESS
Layer 19,19,0.9331,0.9331,0.6585,0.1172,0.6587,0.2746,0.35,0.8333,24,MERT,RAVDESS
Layer 20,20,0.9223,0.9224,0.6459,0.1289,0.6466,0.2764,0.3167,0.85,24,MERT,RAVDESS
Layer 21,21,0.9244,0.9245,0.6615,0.1199,0.6622,0.2629,0.3667,0.875,24,MERT,RAVDESS
Layer 22,22,0.9206,0.9206,0.6425,0.1211,0.6428,0.2781,0.4333,0.8667,24,MERT,RAVDESS
Layer 23,23,0.9115,0.9118,0.6295,0.128,0.6298,0.282,0.3667,0.85,24,MERT,RAVDESS
Layer 24,24,0.9098,0.91,0.6192,0.135,0.6195,0.2906,0.3333,0.8167,24,MERT,RAVDESS
CNN,0,0.8598,0.8575,0.7028,0.0898,0.6961,0.157,0.5634,0.8684,10,MERT,EmoDB
Layer 1,1,0.9121,0.9115,0.8355,0.0664,0.8342,0.0766,0.7324,0.9211,10,MERT,EmoDB
Layer 2,2,0.9121,0.9105,0.8336,0.0617,0.8316,0.0785,0.7209,0.898,10,MERT,EmoDB
Layer 3,3,0.9346,0.9336,0.8636,0.0342,0.8605,0.071,0.8286,0.942,10,MERT,EmoDB
Layer 4,4,0.929,0.9285,0.8617,0.0555,0.8581,0.0673,0.7429,0.942,10,MERT,EmoDB
Layer 5,5,0.9439,0.9434,0.8935,0.0532,0.8914,0.0504,0.7895,0.9655,10,MERT,EmoDB
Layer 6,6,0.9607,0.9603,0.9103,0.0503,0.9083,0.0504,0.8182,0.971,10,MERT,EmoDB
Layer 7,7,0.9607,0.9599,0.9103,0.0459,0.9082,0.0504,0.8182,0.971,10,MERT,EmoDB
Layer 8,8,0.9533,0.9532,0.9009,0.0449,0.8992,0.0524,0.8,0.9565,10,MERT,EmoDB
Layer 9,9,0.9495,0.949,0.9047,0.0434,0.903,0.0448,0.8182,0.9565,10,MERT,EmoDB
Layer 10,10,0.9495,0.9493,0.9103,0.039,0.9091,0.0392,0.8182,0.9565,10,MERT,EmoDB
Layer 11,11,0.9551,0.9549,0.8991,0.0362,0.8972,0.056,0.8182,0.9483,10,MERT,EmoDB
Layer 12,12,0.957,0.9565,0.9047,0.0309,0.9027,0.0523,0.8364,0.942,10,MERT,EmoDB
Layer 13,13,0.9477,0.947,0.8897,0.0368,0.887,0.058,0.8182,0.9565,10,MERT,EmoDB
Layer 14,14,0.9458,0.9453,0.8841,0.0481,0.8827,0.0617,0.8163,0.9655,10,MERT,EmoDB
Layer 15,15,0.9439,0.9431,0.8841,0.0511,0.8825,0.0598,0.8,0.9464,10,MERT,EmoDB
Layer 16,16,0.9402,0.9398,0.8804,0.0504,0.8788,0.0598,0.8,0.9483,10,MERT,EmoDB
Layer 17,17,0.9495,0.949,0.8897,0.0498,0.8884,0.0598,0.8169,0.9655,10,MERT,EmoDB
Layer 18,18,0.9458,0.9449,0.8804,0.0443,0.8786,0.0654,0.8028,0.9483,10,MERT,EmoDB
Layer 19,19,0.9383,0.9377,0.871,0.056,0.8685,0.0673,0.7465,0.9474,10,MERT,EmoDB
Layer 20,20,0.9327,0.9325,0.8617,0.0573,0.859,0.071,0.7606,0.9565,10,MERT,EmoDB
Layer 21,21,0.9215,0.9204,0.8598,0.0651,0.8569,0.0617,0.7455,0.9565,10,MERT,EmoDB
Layer 22,22,0.9159,0.915,0.8561,0.0537,0.8543,0.0598,0.7636,0.9211,10,MERT,EmoDB
Layer 23,23,0.9009,0.9,0.8486,0.053,0.8472,0.0523,0.7746,0.931,10,MERT,EmoDB
Layer 24,24,0.9028,0.9021,0.8486,0.056,0.847,0.0542,0.7818,0.931,10,MERT,EmoDB
CNN,0,0.6218,0.6215,0.5674,0.0213,0.5662,0.0544,0.5424,0.6074,10,MERT,IEMOCAP
Layer 1,1,0.6421,0.6421,0.5872,0.0407,0.586,0.0549,0.5119,0.6494,10,MERT,IEMOCAP
Layer 2,2,0.6522,0.6519,0.5927,0.0313,0.5918,0.0595,0.5365,0.6465,10,MERT,IEMOCAP
Layer 3,3,0.648,0.6477,0.5938,0.0352,0.5933,0.0542,0.5356,0.6699,10,MERT,IEMOCAP
Layer 4,4,0.6452,0.6449,0.5788,0.0312,0.5771,0.0664,0.5316,0.6367,10,MERT,IEMOCAP
Layer 5,5,0.6496,0.6496,0.5766,0.0382,0.5759,0.073,0.5216,0.6445,10,MERT,IEMOCAP
Layer 6,6,0.6484,0.648,0.585,0.0322,0.5843,0.0634,0.5405,0.6562,10,MERT,IEMOCAP
Layer 7,7,0.6452,0.6451,0.5885,0.0257,0.5879,0.0567,0.5542,0.6384,10,MERT,IEMOCAP
Layer 8,8,0.6436,0.6433,0.5949,0.0394,0.5942,0.0487,0.5316,0.668,10,MERT,IEMOCAP
Layer 9,9,0.6504,0.65,0.5936,0.0374,0.5928,0.0568,0.5382,0.6738,10,MERT,IEMOCAP
Layer 10,10,0.635,0.635,0.5912,0.0405,0.5905,0.0438,0.5266,0.6816,10,MERT,IEMOCAP
Layer 11,11,0.6266,0.6261,0.5848,0.0366,0.5842,0.0418,0.5297,0.6406,10,MERT,IEMOCAP
Layer 12,12,0.6278,0.6275,0.5788,0.0354,0.5785,0.049,0.5297,0.627,10,MERT,IEMOCAP
Layer 13,13,0.6341,0.634,0.5839,0.0332,0.5829,0.0502,0.5266,0.6484,10,MERT,IEMOCAP
Layer 14,14,0.6189,0.6188,0.5668,0.0362,0.5659,0.0521,0.5068,0.6484,10,MERT,IEMOCAP
Layer 15,15,0.6253,0.6251,0.5603,0.0264,0.5591,0.065,0.5282,0.6133,10,MERT,IEMOCAP
Layer 16,16,0.6251,0.625,0.5645,0.029,0.5637,0.0606,0.5266,0.627,10,MERT,IEMOCAP
Layer 17,17,0.6229,0.6227,0.5619,0.0297,0.5612,0.061,0.515,0.6348,10,MERT,IEMOCAP
Layer 18,18,0.6084,0.6081,0.5632,0.0268,0.5626,0.0452,0.5339,0.627,10,MERT,IEMOCAP
Layer 19,19,0.6081,0.6078,0.5518,0.0264,0.5507,0.0563,0.5169,0.6172,10,MERT,IEMOCAP
Layer 20,20,0.604,0.6036,0.5615,0.0319,0.5605,0.0425,0.524,0.6367,10,MERT,IEMOCAP
Layer 21,21,0.606,0.6056,0.5562,0.0233,0.5557,0.0498,0.5266,0.6152,10,MERT,IEMOCAP
Layer 22,22,0.5908,0.5905,0.5467,0.023,0.5459,0.0441,0.5,0.5814,10,MERT,IEMOCAP
Layer 23,23,0.6007,0.6003,0.5529,0.027,0.5523,0.0478,0.4852,0.5768,10,MERT,IEMOCAP
Layer 24,24,0.6022,0.6019,0.5575,0.0276,0.5567,0.0447,0.5042,0.5879,10,MERT,IEMOCAP
CNN,0,0.6521,0.6467,0.3521,0.139,0.348,0.3,0.1333,0.4917,4,MERT,SAVEE
Layer 1,1,0.7104,0.7037,0.4396,0.1919,0.4343,0.2708,0.2333,0.6917,4,MERT,SAVEE
Layer 2,2,0.7562,0.7513,0.4854,0.1516,0.48,0.2708,0.3,0.6833,4,MERT,SAVEE
Layer 3,3,0.7229,0.7195,0.4792,0.179,0.4859,0.2437,0.2417,0.725,4,MERT,SAVEE
Layer 4,4,0.7646,0.7601,0.5208,0.204,0.5334,0.2438,0.2167,0.7417,4,MERT,SAVEE
Layer 5,5,0.7875,0.7856,0.5229,0.1698,0.5126,0.2646,0.275,0.7,4,MERT,SAVEE
