Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
Layer 14,14,0.6806,0.6806,0.6491,0.0313,0.6489,0.0315,0.6108,0.7109,10,HuBERT,IEMOCAP
Layer 15,15,0.672,0.672,0.6493,0.0392,0.6488,0.0227,0.58,0.7055,10,HuBERT,IEMOCAP
Layer 16,16,0.6731,0.6732,0.6473,0.0334,0.6469,0.0258,0.5997,0.6992,10,HuBERT,IEMOCAP
Layer 17,17,0.672,0.6719,0.6471,0.0364,0.6467,0.0249,0.5897,0.7051,10,HuBERT,IEMOCAP
Layer 18,18,0.6705,0.6702,0.6425,0.0343,0.642,0.028,0.5864,0.6875,10,HuBERT,IEMOCAP
Layer 19,19,0.663,0.6629,0.6447,0.0297,0.6443,0.0183,0.5988,0.6914,10,HuBERT,IEMOCAP
Layer 20,20,0.652,0.6518,0.637,0.0335,0.6365,0.015,0.5782,0.6822,10,HuBERT,IEMOCAP
Layer 21,21,0.6555,0.6553,0.6438,0.0203,0.6434,0.0117,0.6158,0.6822,10,HuBERT,IEMOCAP
Layer 22,22,0.6652,0.6652,0.6509,0.0214,0.6508,0.0143,0.6229,0.7012,10,HuBERT,IEMOCAP
Layer 23,23,0.6581,0.6581,0.6465,0.03,0.6466,0.0116,0.5895,0.6863,10,HuBERT,IEMOCAP
Layer 24,24,0.6581,0.6581,0.6401,0.0155,0.6399,0.018,0.6177,0.6719,10,HuBERT,IEMOCAP
CNN,0,0.7271,0.7257,0.3958,0.1297,0.3931,0.3313,0.225,0.5833,4,HuBERT,SAVEE
Layer 1,1,0.7854,0.7835,0.4813,0.1403,0.4775,0.3041,0.325,0.6333,4,HuBERT,SAVEE
Layer 2,2,0.8271,0.827,0.4667,0.1239,0.4534,0.3604,0.3083,0.625,4,HuBERT,SAVEE
Layer 3,3,0.8646,0.8626,0.6062,0.1244,0.5881,0.2584,0.4083,0.75,4,HuBERT,SAVEE
Layer 4,4,0.8646,0.8624,0.6,0.144,0.5731,0.2646,0.3833,0.75,4,HuBERT,SAVEE
Layer 5,5,0.8688,0.8664,0.65,0.1388,0.6287,0.2188,0.45,0.7917,4,HuBERT,SAVEE
Layer 6,6,0.8833,0.8818,0.6458,0.1412,0.6254,0.2375,0.4167,0.7667,4,HuBERT,SAVEE
Layer 7,7,0.8896,0.8874,0.6646,0.113,0.6452,0.225,0.4833,0.775,4,HuBERT,SAVEE
Layer 8,8,0.8833,0.8831,0.6896,0.1362,0.6793,0.1937,0.4583,0.8,4,HuBERT,SAVEE
Layer 9,9,0.8833,0.8821,0.7125,0.1204,0.7023,0.1708,0.5083,0.8083,4,HuBERT,SAVEE
Layer 10,10,0.8708,0.8697,0.7229,0.0912,0.713,0.1479,0.5833,0.8083,4,HuBERT,SAVEE
Layer 11,11,0.8771,0.8747,0.7167,0.0979,0.7091,0.1604,0.55,0.8,4,HuBERT,SAVEE
Layer 12,12,0.8792,0.8778,0.7521,0.0793,0.7478,0.1271,0.6167,0.8083,4,HuBERT,SAVEE
Layer 13,13,0.8708,0.8695,0.7562,0.0647,0.7541,0.1146,0.675,0.85,4,HuBERT,SAVEE
Layer 14,14,0.8708,0.8708,0.7646,0.0767,0.7644,0.1062,0.6583,0.875,4,HuBERT,SAVEE
Layer 15,15,0.8625,0.8605,0.7958,0.0983,0.7928,0.0667,0.65,0.9083,4,HuBERT,SAVEE
Layer 16,16,0.875,0.8743,0.8021,0.0893,0.7992,0.0729,0.6583,0.9,4,HuBERT,SAVEE
Layer 17,17,0.8583,0.8574,0.8375,0.0834,0.835,0.0208,0.7,0.9083,4,HuBERT,SAVEE
Layer 18,18,0.8479,0.8472,0.8187,0.0805,0.8159,0.0292,0.6833,0.8833,4,HuBERT,SAVEE
Layer 19,19,0.8521,0.8518,0.8167,0.07,0.8134,0.0354,0.7,0.875,4,HuBERT,SAVEE
Layer 20,20,0.8521,0.8522,0.8271,0.0753,0.8243,0.025,0.7083,0.9,4,HuBERT,SAVEE
Layer 21,21,0.8542,0.8534,0.8187,0.0698,0.8153,0.0355,0.7167,0.8833,4,HuBERT,SAVEE
Layer 22,22,0.8667,0.8674,0.7875,0.1016,0.7807,0.0792,0.6167,0.8833,4,HuBERT,SAVEE
Layer 23,23,0.8396,0.8392,0.75,0.1113,0.7434,0.0896,0.575,0.8583,4,HuBERT,SAVEE
Layer 24,24,0.8104,0.8085,0.7479,0.1021,0.7407,0.0625,0.5833,0.8333,4,HuBERT,SAVEE
CNN,0,0.8047,0.8041,0.6672,0.1452,0.6685,0.1375,0.4407,1.0,15,HuBERT,AESDD
Layer 1,1,0.8444,0.844,0.6904,0.1619,0.6916,0.154,0.4068,1.0,15,HuBERT,AESDD
Layer 2,2,0.894,0.8943,0.7748,0.1543,0.7736,0.1192,0.4746,1.0,15,HuBERT,AESDD
Layer 3,3,0.9338,0.9338,0.8377,0.1155,0.8373,0.0961,0.5763,1.0,15,HuBERT,AESDD
Layer 4,4,0.9354,0.9356,0.8377,0.1108,0.8366,0.0977,0.6667,1.0,15,HuBERT,AESDD
Layer 5,5,0.9437,0.9439,0.8311,0.1056,0.8302,0.1126,0.6102,1.0,15,HuBERT,AESDD
Layer 6,6,0.9454,0.9454,0.8576,0.0862,0.8566,0.0878,0.661,1.0,15,HuBERT,AESDD
Layer 7,7,0.9487,0.9485,0.8626,0.0798,0.8621,0.0861,0.7627,1.0,15,HuBERT,AESDD
Layer 8,8,0.9537,0.9532,0.8593,0.0838,0.8593,0.0944,0.7458,1.0,15,HuBERT,AESDD
Layer 9,9,0.9487,0.9485,0.8493,0.0807,0.8493,0.0994,0.7458,1.0,15,HuBERT,AESDD
Layer 10,10,0.9586,0.9582,0.8675,0.0747,0.8672,0.0911,0.7627,1.0,15,HuBERT,AESDD
Layer 11,11,0.9387,0.9386,0.8162,0.0757,0.816,0.1225,0.7037,1.0,15,HuBERT,AESDD
Layer 12,12,0.9238,0.9239,0.798,0.1123,0.7977,0.1258,0.6102,1.0,15,HuBERT,AESDD
Layer 13,13,0.9122,0.9114,0.7732,0.0952,0.7728,0.139,0.6111,1.0,15,HuBERT,AESDD
Layer 14,14,0.9106,0.9102,0.7202,0.1124,0.7206,0.1904,0.5185,1.0,15,HuBERT,AESDD
Layer 15,15,0.9006,0.8994,0.6987,0.1159,0.7004,0.2019,0.5556,1.0,15,HuBERT,AESDD
Layer 16,16,0.9006,0.8995,0.6639,0.1456,0.6667,0.2367,0.4237,1.0,15,HuBERT,AESDD
