Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,SNR,Exp_ID,Setup
Layer 24,24,0.5803,0.0079,0.5752,MERT,clean,7,4-Class (A/H/N/S)
CNN,0,0.5448,0.0089,0.5139,MERT,0,7,4-Class (A/H/N/S)
Layer 1,1,0.5384,0.0073,0.5215,MERT,0,7,4-Class (A/H/N/S)
Layer 2,2,0.5419,0.0073,0.5312,MERT,0,7,4-Class (A/H/N/S)
Layer 3,3,0.5385,0.0123,0.5304,MERT,0,7,4-Class (A/H/N/S)
Layer 4,4,0.55,0.006,0.5436,MERT,0,7,4-Class (A/H/N/S)
Layer 5,5,0.5459,0.0099,0.5402,MERT,0,7,4-Class (A/H/N/S)
Layer 6,6,0.5436,0.007,0.5387,MERT,0,7,4-Class (A/H/N/S)
Layer 7,7,0.5459,0.011,0.5417,MERT,0,7,4-Class (A/H/N/S)
Layer 8,8,0.5424,0.0096,0.538,MERT,0,7,4-Class (A/H/N/S)
Layer 9,9,0.549,0.0095,0.5434,MERT,0,7,4-Class (A/H/N/S)
Layer 10,10,0.5475,0.0064,0.5426,MERT,0,7,4-Class (A/H/N/S)
Layer 11,11,0.551,0.0095,0.5462,MERT,0,7,4-Class (A/H/N/S)
Layer 12,12,0.5517,0.006,0.5464,MERT,0,7,4-Class (A/H/N/S)
Layer 13,13,0.5457,0.0042,0.5407,MERT,0,7,4-Class (A/H/N/S)
Layer 14,14,0.546,0.0064,0.5402,MERT,0,7,4-Class (A/H/N/S)
Layer 15,15,0.5487,0.0072,0.5427,MERT,0,7,4-Class (A/H/N/S)
Layer 16,16,0.5474,0.0049,0.5417,MERT,0,7,4-Class (A/H/N/S)
Layer 17,17,0.5384,0.0051,0.5332,MERT,0,7,4-Class (A/H/N/S)
Layer 18,18,0.5379,0.0021,0.5327,MERT,0,7,4-Class (A/H/N/S)
Layer 19,19,0.5391,0.0045,0.5335,MERT,0,7,4-Class (A/H/N/S)
Layer 20,20,0.5378,0.0068,0.5325,MERT,0,7,4-Class (A/H/N/S)
Layer 21,21,0.5405,0.0053,0.5357,MERT,0,7,4-Class (A/H/N/S)
Layer 22,22,0.5373,0.0075,0.5328,MERT,0,7,4-Class (A/H/N/S)
Layer 23,23,0.5418,0.0053,0.537,MERT,0,7,4-Class (A/H/N/S)
Layer 24,24,0.546,0.0049,0.5406,MERT,0,7,4-Class (A/H/N/S)
