Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,SNR,Exp_ID,Setup
Layer 22,22,0.5706,0.006,0.5682,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 23,23,0.5659,0.0027,0.5631,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 24,24,0.5619,0.0069,0.556,w2v-BERT,20,7,4-Class (A/H/N/S)
CNN,0,0.5013,0.0036,0.4232,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 1,1,0.5376,0.0085,0.5283,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 2,2,0.5582,0.007,0.5512,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 3,3,0.5732,0.0056,0.5692,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 4,4,0.5754,0.006,0.5722,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 5,5,0.5873,0.0075,0.5828,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 6,6,0.5922,0.005,0.5876,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 7,7,0.5842,0.009,0.5793,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 8,8,0.5829,0.005,0.5777,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 9,9,0.586,0.007,0.5804,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 10,10,0.5907,0.0042,0.5864,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 11,11,0.5893,0.0083,0.5867,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 12,12,0.594,0.0048,0.5929,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 13,13,0.596,0.008,0.5945,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 14,14,0.6002,0.008,0.5963,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 15,15,0.5954,0.0051,0.5921,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 16,16,0.5895,0.0048,0.5876,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 17,17,0.5843,0.0073,0.5823,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 18,18,0.5858,0.0043,0.5828,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 19,19,0.5799,0.0036,0.5767,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 20,20,0.5808,0.009,0.5771,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 21,21,0.5796,0.0139,0.576,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 22,22,0.5606,0.0053,0.5574,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 23,23,0.5556,0.0099,0.5533,w2v-BERT,5,7,4-Class (A/H/N/S)
Layer 24,24,0.5613,0.0039,0.5553,w2v-BERT,5,7,4-Class (A/H/N/S)
CNN,0,0.6114,0.0108,0.5943,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 1,1,0.5932,0.0069,0.5861,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 2,2,0.5865,0.0069,0.5817,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 3,3,0.5838,0.0099,0.5809,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 4,4,0.5866,0.01,0.5835,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 5,5,0.5906,0.0065,0.5887,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 6,6,0.5953,0.0072,0.594,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 7,7,0.5935,0.0038,0.5932,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 8,8,0.5897,0.0107,0.5893,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 9,9,0.5942,0.0141,0.5933,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 10,10,0.5959,0.0124,0.5953,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 11,11,0.601,0.0053,0.6005,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 12,12,0.5935,0.009,0.5929,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 13,13,0.5942,0.0078,0.5952,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 14,14,0.5866,0.0049,0.588,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 15,15,0.5837,0.0078,0.5857,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 16,16,0.5876,0.0055,0.5882,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 17,17,0.5888,0.0044,0.5887,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 18,18,0.5842,0.0062,0.5831,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 19,19,0.5905,0.0102,0.5882,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 20,20,0.5887,0.0088,0.5853,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 21,21,0.5715,0.005,0.5675,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 22,22,0.5715,0.0065,0.5646,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 23,23,0.5564,0.0068,0.5485,wav2vec2,clean,7,4-Class (A/H/N/S)
Layer 24,24,0.5245,0.0138,0.5149,wav2vec2,clean,7,4-Class (A/H/N/S)
CNN,0,0.5493,0.0129,0.526,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 1,1,0.5397,0.0052,0.5281,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 2,2,0.537,0.0069,0.5281,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 3,3,0.5397,0.0076,0.5329,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 4,4,0.5466,0.0111,0.5406,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 5,5,0.5404,0.0092,0.536,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 6,6,0.5449,0.0081,0.5409,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 7,7,0.5462,0.0084,0.5431,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 8,8,0.5501,0.0066,0.5481,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 9,9,0.5489,0.0095,0.5468,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 10,10,0.5429,0.0109,0.5405,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 11,11,0.5459,0.0068,0.5443,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 12,12,0.5475,0.0069,0.5466,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 13,13,0.5443,0.0041,0.5444,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 14,14,0.5429,0.009,0.5431,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 15,15,0.543,0.009,0.5425,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 16,16,0.5383,0.0035,0.5387,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 17,17,0.5392,0.0063,0.5388,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 18,18,0.5382,0.008,0.5347,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 19,19,0.5351,0.0098,0.5321,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 20,20,0.5317,0.0048,0.5275,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 21,21,0.5271,0.006,0.5213,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 22,22,0.5213,0.0068,0.5124,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 23,23,0.5071,0.0082,0.4958,wav2vec2,0,7,4-Class (A/H/N/S)
Layer 24,24,0.4868,0.0066,0.4753,wav2vec2,0,7,4-Class (A/H/N/S)
CNN,0,0.5772,0.0087,0.5577,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 1,1,0.557,0.0044,0.5499,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 2,2,0.5626,0.0071,0.5563,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 3,3,0.5576,0.0078,0.5535,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 4,4,0.5593,0.0071,0.5571,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 5,5,0.5652,0.0086,0.563,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 6,6,0.5668,0.0078,0.5656,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 7,7,0.5676,0.004,0.5667,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 8,8,0.5716,0.0063,0.5704,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 9,9,0.5752,0.0067,0.5739,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 10,10,0.5714,0.0086,0.5715,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 11,11,0.5747,0.008,0.5742,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 12,12,0.5746,0.0054,0.5748,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 13,13,0.573,0.0081,0.5735,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 14,14,0.5654,0.0047,0.5665,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 15,15,0.5589,0.0121,0.5606,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 16,16,0.5593,0.01,0.561,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 17,17,0.5655,0.0054,0.5661,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 18,18,0.5603,0.0103,0.5588,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 19,19,0.5612,0.0038,0.5584,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 20,20,0.5553,0.0079,0.5518,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 21,21,0.5442,0.0105,0.5388,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 22,22,0.5408,0.0047,0.5324,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 23,23,0.5258,0.0109,0.5164,wav2vec2,10,7,4-Class (A/H/N/S)
Layer 24,24,0.5142,0.0152,0.503,wav2vec2,10,7,4-Class (A/H/N/S)
CNN,0,0.5839,0.0077,0.567,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 1,1,0.5689,0.0101,0.5635,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 2,2,0.5672,0.0045,0.563,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 3,3,0.5686,0.0124,0.5659,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 4,4,0.5732,0.0043,0.5711,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 5,5,0.5815,0.0038,0.5793,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 6,6,0.5771,0.0063,0.5756,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 7,7,0.5783,0.0061,0.5788,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 8,8,0.579,0.0074,0.5785,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 9,9,0.5834,0.0063,0.5835,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 10,10,0.5798,0.0052,0.5799,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 11,11,0.5841,0.0062,0.5834,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 12,12,0.5803,0.0042,0.5808,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 13,13,0.5802,0.0048,0.5817,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 14,14,0.5737,0.0078,0.5748,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 15,15,0.5779,0.0046,0.5791,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 16,16,0.5792,0.0053,0.5793,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 17,17,0.577,0.0088,0.5777,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 18,18,0.5722,0.0089,0.5719,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 19,19,0.578,0.0096,0.5756,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 20,20,0.5624,0.007,0.5592,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 21,21,0.5561,0.0041,0.5517,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 22,22,0.557,0.0062,0.5492,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 23,23,0.5498,0.008,0.5419,wav2vec2,20,7,4-Class (A/H/N/S)
Layer 24,24,0.5298,0.0086,0.5204,wav2vec2,20,7,4-Class (A/H/N/S)
CNN,0,0.5682,0.0142,0.5472,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 1,1,0.5455,0.0067,0.5366,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 2,2,0.5513,0.0057,0.5443,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 3,3,0.549,0.0123,0.5438,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 4,4,0.5552,0.0045,0.5509,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 5,5,0.5549,0.0067,0.5512,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 6,6,0.5549,0.0073,0.5533,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 7,7,0.5559,0.0033,0.5541,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 8,8,0.5596,0.0043,0.5591,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 9,9,0.5679,0.0089,0.5664,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 10,10,0.5655,0.0059,0.5643,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 11,11,0.5682,0.0036,0.5675,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 12,12,0.5641,0.0101,0.5633,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 13,13,0.5666,0.0127,0.5663,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 14,14,0.5591,0.0104,0.5594,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 15,15,0.5584,0.0108,0.5579,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 16,16,0.5548,0.0043,0.5554,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 17,17,0.5599,0.0059,0.5593,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 18,18,0.55,0.0149,0.5475,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 19,19,0.5533,0.0035,0.5497,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 20,20,0.5461,0.0092,0.5421,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 21,21,0.5364,0.0109,0.5313,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 22,22,0.5385,0.0065,0.5302,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 23,23,0.5175,0.0125,0.5059,wav2vec2,5,7,4-Class (A/H/N/S)
Layer 24,24,0.4966,0.0102,0.4858,wav2vec2,5,7,4-Class (A/H/N/S)
CNN,0,0.4763,0.0028,0.4202,HuBERT,clean,6,8-Class (All Emotions)
Layer 1,1,0.4624,0.0089,0.4266,HuBERT,clean,6,8-Class (All Emotions)
Layer 2,2,0.4477,0.0058,0.425,HuBERT,clean,6,8-Class (All Emotions)
Layer 3,3,0.4457,0.0105,0.4269,HuBERT,clean,6,8-Class (All Emotions)
Layer 4,4,0.4404,0.0037,0.4233,HuBERT,clean,6,8-Class (All Emotions)
Layer 5,5,0.4433,0.006,0.4262,HuBERT,clean,6,8-Class (All Emotions)
Layer 6,6,0.446,0.0034,0.4298,HuBERT,clean,6,8-Class (All Emotions)
Layer 7,7,0.4386,0.0041,0.4236,HuBERT,clean,6,8-Class (All Emotions)
Layer 8,8,0.4418,0.0042,0.4284,HuBERT,clean,6,8-Class (All Emotions)
Layer 9,9,0.4375,0.004,0.4238,HuBERT,clean,6,8-Class (All Emotions)
Layer 10,10,0.4429,0.0081,0.4289,HuBERT,clean,6,8-Class (All Emotions)
Layer 11,11,0.4393,0.0044,0.4259,HuBERT,clean,6,8-Class (All Emotions)
Layer 12,12,0.4434,0.0062,0.4301,HuBERT,clean,6,8-Class (All Emotions)
Layer 13,13,0.4494,0.0084,0.4351,HuBERT,clean,6,8-Class (All Emotions)
Layer 14,14,0.4469,0.0086,0.4324,HuBERT,clean,6,8-Class (All Emotions)
Layer 15,15,0.4401,0.0056,0.429,HuBERT,clean,6,8-Class (All Emotions)
Layer 16,16,0.4482,0.0047,0.4366,HuBERT,clean,6,8-Class (All Emotions)
Layer 17,17,0.4448,0.0085,0.4343,HuBERT,clean,6,8-Class (All Emotions)
Layer 18,18,0.4429,0.0024,0.4325,HuBERT,clean,6,8-Class (All Emotions)
Layer 19,19,0.445,0.0101,0.4357,HuBERT,clean,6,8-Class (All Emotions)
Layer 20,20,0.4405,0.0061,0.4317,HuBERT,clean,6,8-Class (All Emotions)
Layer 21,21,0.4476,0.0039,0.4379,HuBERT,clean,6,8-Class (All Emotions)
Layer 22,22,0.4476,0.0049,0.4379,HuBERT,clean,6,8-Class (All Emotions)
Layer 23,23,0.4458,0.0061,0.4337,HuBERT,clean,6,8-Class (All Emotions)
Layer 24,24,0.4466,0.0045,0.435,HuBERT,clean,6,8-Class (All Emotions)
CNN,0,0.4266,0.0055,0.3622,HuBERT,0,6,8-Class (All Emotions)
Layer 1,1,0.4074,0.0051,0.3676,HuBERT,0,6,8-Class (All Emotions)
Layer 2,2,0.3974,0.0071,0.3745,HuBERT,0,6,8-Class (All Emotions)
Layer 3,3,0.4014,0.0056,0.3826,HuBERT,0,6,8-Class (All Emotions)
Layer 4,4,0.3969,0.0072,0.3803,HuBERT,0,6,8-Class (All Emotions)
Layer 5,5,0.3984,0.0056,0.3829,HuBERT,0,6,8-Class (All Emotions)
Layer 6,6,0.4013,0.0061,0.3846,HuBERT,0,6,8-Class (All Emotions)
Layer 7,7,0.4012,0.0054,0.3855,HuBERT,0,6,8-Class (All Emotions)
Layer 8,8,0.3968,0.0086,0.3807,HuBERT,0,6,8-Class (All Emotions)
Layer 9,9,0.4036,0.0041,0.3877,HuBERT,0,6,8-Class (All Emotions)
Layer 10,10,0.4063,0.0074,0.3902,HuBERT,0,6,8-Class (All Emotions)
Layer 11,11,0.4007,0.0046,0.3855,HuBERT,0,6,8-Class (All Emotions)
Layer 12,12,0.4032,0.0017,0.3877,HuBERT,0,6,8-Class (All Emotions)
Layer 13,13,0.4043,0.0083,0.3889,HuBERT,0,6,8-Class (All Emotions)
Layer 14,14,0.4,0.0114,0.3849,HuBERT,0,6,8-Class (All Emotions)
Layer 15,15,0.407,0.0044,0.3924,HuBERT,0,6,8-Class (All Emotions)
Layer 16,16,0.4053,0.0089,0.3911,HuBERT,0,6,8-Class (All Emotions)
Layer 17,17,0.4036,0.0037,0.3902,HuBERT,0,6,8-Class (All Emotions)
Layer 18,18,0.4089,0.0041,0.3961,HuBERT,0,6,8-Class (All Emotions)
Layer 19,19,0.4064,0.0054,0.3952,HuBERT,0,6,8-Class (All Emotions)
Layer 20,20,0.4079,0.0084,0.3959,HuBERT,0,6,8-Class (All Emotions)
Layer 21,21,0.411,0.0111,0.3972,HuBERT,0,6,8-Class (All Emotions)
Layer 22,22,0.4097,0.0073,0.3939,HuBERT,0,6,8-Class (All Emotions)
Layer 23,23,0.4136,0.0103,0.396,HuBERT,0,6,8-Class (All Emotions)
Layer 24,24,0.4094,0.0067,0.3915,HuBERT,0,6,8-Class (All Emotions)
CNN,0,0.4425,0.0034,0.3815,HuBERT,10,6,8-Class (All Emotions)
Layer 1,1,0.4236,0.0035,0.3888,HuBERT,10,6,8-Class (All Emotions)
Layer 2,2,0.4133,0.0066,0.3921,HuBERT,10,6,8-Class (All Emotions)
Layer 3,3,0.4094,0.0048,0.3933,HuBERT,10,6,8-Class (All Emotions)
Layer 4,4,0.4029,0.0077,0.3895,HuBERT,10,6,8-Class (All Emotions)
Layer 5,5,0.4108,0.0046,0.3976,HuBERT,10,6,8-Class (All Emotions)
Layer 6,6,0.4116,0.0057,0.3965,HuBERT,10,6,8-Class (All Emotions)
Layer 7,7,0.415,0.0043,0.4002,HuBERT,10,6,8-Class (All Emotions)
Layer 8,8,0.4131,0.0085,0.4003,HuBERT,10,6,8-Class (All Emotions)
Layer 9,9,0.4114,0.005,0.3976,HuBERT,10,6,8-Class (All Emotions)
Layer 10,10,0.4197,0.0025,0.4058,HuBERT,10,6,8-Class (All Emotions)
Layer 11,11,0.4228,0.005,0.4088,HuBERT,10,6,8-Class (All Emotions)
Layer 12,12,0.4255,0.0093,0.4121,HuBERT,10,6,8-Class (All Emotions)
Layer 13,13,0.4288,0.0078,0.4152,HuBERT,10,6,8-Class (All Emotions)
Layer 14,14,0.4238,0.0043,0.41,HuBERT,10,6,8-Class (All Emotions)
Layer 15,15,0.4185,0.0083,0.4069,HuBERT,10,6,8-Class (All Emotions)
Layer 16,16,0.4256,0.0059,0.4142,HuBERT,10,6,8-Class (All Emotions)
Layer 17,17,0.4274,0.0056,0.4169,HuBERT,10,6,8-Class (All Emotions)
Layer 18,18,0.428,0.0058,0.4174,HuBERT,10,6,8-Class (All Emotions)
Layer 19,19,0.4252,0.0045,0.4159,HuBERT,10,6,8-Class (All Emotions)
Layer 20,20,0.4268,0.0076,0.4168,HuBERT,10,6,8-Class (All Emotions)
Layer 21,21,0.4254,0.0092,0.417,HuBERT,10,6,8-Class (All Emotions)
Layer 22,22,0.4293,0.0102,0.4188,HuBERT,10,6,8-Class (All Emotions)
Layer 23,23,0.4306,0.0079,0.4167,HuBERT,10,6,8-Class (All Emotions)
Layer 24,24,0.4279,0.0032,0.4127,HuBERT,10,6,8-Class (All Emotions)
CNN,0,0.4529,0.0067,0.3946,HuBERT,20,6,8-Class (All Emotions)
Layer 1,1,0.4359,0.0072,0.4023,HuBERT,20,6,8-Class (All Emotions)
Layer 2,2,0.4258,0.0045,0.4052,HuBERT,20,6,8-Class (All Emotions)
Layer 3,3,0.4161,0.0077,0.4,HuBERT,20,6,8-Class (All Emotions)
Layer 4,4,0.417,0.0045,0.4031,HuBERT,20,6,8-Class (All Emotions)
Layer 5,5,0.4237,0.0076,0.4096,HuBERT,20,6,8-Class (All Emotions)
Layer 6,6,0.4246,0.0066,0.4117,HuBERT,20,6,8-Class (All Emotions)
Layer 7,7,0.4257,0.0062,0.4116,HuBERT,20,6,8-Class (All Emotions)
Layer 8,8,0.4246,0.005,0.4127,HuBERT,20,6,8-Class (All Emotions)
Layer 9,9,0.4221,0.0077,0.4093,HuBERT,20,6,8-Class (All Emotions)
Layer 10,10,0.4317,0.0029,0.4184,HuBERT,20,6,8-Class (All Emotions)
Layer 11,11,0.4317,0.008,0.4173,HuBERT,20,6,8-Class (All Emotions)
Layer 12,12,0.4335,0.0075,0.4183,HuBERT,20,6,8-Class (All Emotions)
Layer 13,13,0.4338,0.007,0.4206,HuBERT,20,6,8-Class (All Emotions)
Layer 14,14,0.4366,0.0076,0.423,HuBERT,20,6,8-Class (All Emotions)
Layer 15,15,0.4339,0.0068,0.4221,HuBERT,20,6,8-Class (All Emotions)
Layer 16,16,0.4342,0.0037,0.4236,HuBERT,20,6,8-Class (All Emotions)
Layer 17,17,0.4354,0.0046,0.4257,HuBERT,20,6,8-Class (All Emotions)
Layer 18,18,0.4341,0.0076,0.425,HuBERT,20,6,8-Class (All Emotions)
Layer 19,19,0.4406,0.0066,0.4312,HuBERT,20,6,8-Class (All Emotions)
Layer 20,20,0.4368,0.0041,0.4285,HuBERT,20,6,8-Class (All Emotions)
Layer 21,21,0.4325,0.0046,0.4242,HuBERT,20,6,8-Class (All Emotions)
Layer 22,22,0.4369,0.0039,0.428,HuBERT,20,6,8-Class (All Emotions)
Layer 23,23,0.4376,0.007,0.4253,HuBERT,20,6,8-Class (All Emotions)
Layer 24,24,0.4391,0.0041,0.4262,HuBERT,20,6,8-Class (All Emotions)
CNN,0,0.4375,0.0075,0.3747,HuBERT,5,6,8-Class (All Emotions)
Layer 1,1,0.4128,0.0024,0.3762,HuBERT,5,6,8-Class (All Emotions)
Layer 2,2,0.4039,0.0053,0.3817,HuBERT,5,6,8-Class (All Emotions)
Layer 3,3,0.4047,0.0039,0.3882,HuBERT,5,6,8-Class (All Emotions)
Layer 4,4,0.4004,0.0071,0.3856,HuBERT,5,6,8-Class (All Emotions)
Layer 5,5,0.4047,0.0024,0.3908,HuBERT,5,6,8-Class (All Emotions)
Layer 6,6,0.4071,0.0073,0.3911,HuBERT,5,6,8-Class (All Emotions)
Layer 7,7,0.4059,0.0037,0.3905,HuBERT,5,6,8-Class (All Emotions)
Layer 8,8,0.4012,0.0069,0.3885,HuBERT,5,6,8-Class (All Emotions)
Layer 9,9,0.4095,0.0037,0.396,HuBERT,5,6,8-Class (All Emotions)
Layer 10,10,0.4117,0.0024,0.3976,HuBERT,5,6,8-Class (All Emotions)
Layer 11,11,0.4131,0.0054,0.3982,HuBERT,5,6,8-Class (All Emotions)
Layer 12,12,0.4178,0.0055,0.4045,HuBERT,5,6,8-Class (All Emotions)
Layer 13,13,0.4161,0.0094,0.4026,HuBERT,5,6,8-Class (All Emotions)
Layer 14,14,0.4192,0.0018,0.4053,HuBERT,5,6,8-Class (All Emotions)
Layer 15,15,0.415,0.0045,0.403,HuBERT,5,6,8-Class (All Emotions)
Layer 16,16,0.4143,0.0087,0.4027,HuBERT,5,6,8-Class (All Emotions)
Layer 17,17,0.4154,0.0056,0.4044,HuBERT,5,6,8-Class (All Emotions)
Layer 18,18,0.4181,0.0061,0.4064,HuBERT,5,6,8-Class (All Emotions)
Layer 19,19,0.42,0.0039,0.41,HuBERT,5,6,8-Class (All Emotions)
Layer 20,20,0.4196,0.0058,0.41,HuBERT,5,6,8-Class (All Emotions)
Layer 21,21,0.4186,0.0063,0.408,HuBERT,5,6,8-Class (All Emotions)
Layer 22,22,0.4228,0.0065,0.4104,HuBERT,5,6,8-Class (All Emotions)
Layer 23,23,0.4236,0.0071,0.4087,HuBERT,5,6,8-Class (All Emotions)
Layer 24,24,0.4231,0.007,0.4073,HuBERT,5,6,8-Class (All Emotions)
CNN,0,0.4594,0.0047,0.4055,MERT,clean,6,8-Class (All Emotions)
Layer 1,1,0.4505,0.0058,0.4154,MERT,clean,6,8-Class (All Emotions)
Layer 2,2,0.441,0.0075,0.4148,MERT,clean,6,8-Class (All Emotions)
Layer 3,3,0.4343,0.0051,0.4123,MERT,clean,6,8-Class (All Emotions)
Layer 4,4,0.4292,0.0048,0.4104,MERT,clean,6,8-Class (All Emotions)
Layer 5,5,0.4265,0.0082,0.4105,MERT,clean,6,8-Class (All Emotions)
Layer 6,6,0.4266,0.0058,0.4115,MERT,clean,6,8-Class (All Emotions)
Layer 7,7,0.4308,0.0049,0.4149,MERT,clean,6,8-Class (All Emotions)
Layer 8,8,0.4271,0.0056,0.4122,MERT,clean,6,8-Class (All Emotions)
Layer 9,9,0.4239,0.004,0.4091,MERT,clean,6,8-Class (All Emotions)
Layer 10,10,0.4299,0.0054,0.4153,MERT,clean,6,8-Class (All Emotions)
Layer 11,11,0.4303,0.0035,0.4156,MERT,clean,6,8-Class (All Emotions)
Layer 12,12,0.4299,0.0065,0.4156,MERT,clean,6,8-Class (All Emotions)
Layer 13,13,0.4295,0.0043,0.4147,MERT,clean,6,8-Class (All Emotions)
Layer 14,14,0.4239,0.0038,0.4098,MERT,clean,6,8-Class (All Emotions)
Layer 15,15,0.426,0.0054,0.4113,MERT,clean,6,8-Class (All Emotions)
Layer 16,16,0.4211,0.011,0.4075,MERT,clean,6,8-Class (All Emotions)
Layer 17,17,0.4219,0.0052,0.4077,MERT,clean,6,8-Class (All Emotions)
Layer 18,18,0.4182,0.0068,0.4035,MERT,clean,6,8-Class (All Emotions)
Layer 19,19,0.4142,0.0072,0.3998,MERT,clean,6,8-Class (All Emotions)
Layer 20,20,0.4162,0.0088,0.4014,MERT,clean,6,8-Class (All Emotions)
Layer 21,21,0.4183,0.0097,0.4024,MERT,clean,6,8-Class (All Emotions)
