Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
Layer 17,17,0.8375,0.034,0.8371,SAVEE
Layer 18,18,0.8458,0.029,0.8454,SAVEE
Layer 19,19,0.8458,0.0319,0.8454,SAVEE
Layer 20,20,0.85,0.0376,0.8501,SAVEE
Layer 21,21,0.8708,0.0409,0.8702,SAVEE
Layer 22,22,0.8729,0.0267,0.8726,SAVEE
Layer 23,23,0.8438,0.0228,0.8434,SAVEE
Layer 24,24,0.8458,0.0267,0.8462,SAVEE
CNN,0,0.8079,0.0267,0.8074,AESDD
Layer 1,1,0.798,0.017,0.7973,AESDD
Layer 2,2,0.8295,0.0171,0.8287,AESDD
Layer 3,3,0.8642,0.0172,0.8636,AESDD
Layer 4,4,0.8974,0.017,0.8964,AESDD
Layer 5,5,0.9189,0.0096,0.9184,AESDD
Layer 6,6,0.9239,0.008,0.9233,AESDD
Layer 7,7,0.9421,0.0104,0.9416,AESDD
Layer 8,8,0.9255,0.0052,0.9244,AESDD
Layer 9,9,0.9421,0.0209,0.9415,AESDD
Layer 10,10,0.9586,0.0216,0.9583,AESDD
Layer 11,11,0.9337,0.0149,0.9332,AESDD
Layer 12,12,0.9338,0.0261,0.9333,AESDD
Layer 13,13,0.9387,0.0308,0.9384,AESDD
Layer 14,14,0.9338,0.0251,0.9333,AESDD
Layer 15,15,0.9437,0.016,0.9436,AESDD
Layer 16,16,0.9304,0.0261,0.93,AESDD
Layer 17,17,0.9288,0.0346,0.9282,AESDD
Layer 18,18,0.9371,0.025,0.9366,AESDD
Layer 19,19,0.9304,0.025,0.9301,AESDD
Layer 20,20,0.9239,0.0095,0.9235,AESDD
Layer 21,21,0.9255,0.0172,0.9253,AESDD
Layer 22,22,0.9189,0.0191,0.9184,AESDD
Layer 23,23,0.904,0.026,0.9039,AESDD
Layer 24,24,0.9106,0.0319,0.9105,AESDD
