Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
CNN,0,0.7698,0.022,0.7693,AESDD
Layer 1,1,0.8361,0.0245,0.8359,AESDD
Layer 2,2,0.8477,0.0131,0.847,AESDD
Layer 3,3,0.8791,0.0123,0.8798,AESDD
Layer 4,4,0.899,0.0085,0.8985,AESDD
Layer 5,5,0.9255,0.018,0.9258,AESDD
Layer 6,6,0.9305,0.0243,0.9304,AESDD
Layer 7,7,0.9305,0.0333,0.9301,AESDD
Layer 8,8,0.9156,0.0205,0.9149,AESDD
Layer 9,9,0.9172,0.0128,0.9172,AESDD
Layer 10,10,0.9254,0.0237,0.9253,AESDD
Layer 11,11,0.8957,0.0379,0.8954,AESDD
Layer 12,12,0.8427,0.0281,0.841,AESDD
Layer 13,13,0.8394,0.0216,0.8384,AESDD
Layer 14,14,0.8178,0.0188,0.8173,AESDD
Layer 15,15,0.7715,0.0264,0.7707,AESDD
Layer 16,16,0.7946,0.0238,0.7931,AESDD
Layer 17,17,0.7715,0.0111,0.7702,AESDD
Layer 18,18,0.7831,0.0142,0.7827,AESDD
Layer 19,19,0.7384,0.0372,0.7379,AESDD
Layer 20,20,0.7333,0.0376,0.7324,AESDD
Layer 21,21,0.6887,0.0246,0.6896,AESDD
Layer 22,22,0.6224,0.0601,0.6235,AESDD
Layer 23,23,0.4916,0.0342,0.492,AESDD
Layer 24,24,0.3857,0.0342,0.3807,AESDD
CNN,0,0.6114,0.0108,0.5943,MSP-Podcast
Layer 1,1,0.5932,0.0069,0.5861,MSP-Podcast
Layer 2,2,0.5865,0.0069,0.5817,MSP-Podcast
Layer 3,3,0.5838,0.0099,0.5809,MSP-Podcast
Layer 4,4,0.5866,0.01,0.5835,MSP-Podcast
Layer 5,5,0.5906,0.0065,0.5887,MSP-Podcast
Layer 6,6,0.5953,0.0072,0.594,MSP-Podcast
Layer 7,7,0.5935,0.0038,0.5932,MSP-Podcast
Layer 8,8,0.5897,0.0107,0.5893,MSP-Podcast
Layer 9,9,0.5942,0.0141,0.5933,MSP-Podcast
Layer 10,10,0.5959,0.0124,0.5953,MSP-Podcast
Layer 11,11,0.601,0.0053,0.6005,MSP-Podcast
Layer 12,12,0.5935,0.009,0.5929,MSP-Podcast
Layer 13,13,0.5942,0.0078,0.5952,MSP-Podcast
Layer 14,14,0.5866,0.0049,0.588,MSP-Podcast
Layer 15,15,0.5837,0.0078,0.5857,MSP-Podcast
Layer 16,16,0.5876,0.0055,0.5882,MSP-Podcast
Layer 17,17,0.5888,0.0044,0.5887,MSP-Podcast
Layer 18,18,0.5842,0.0062,0.5831,MSP-Podcast
Layer 19,19,0.5905,0.0102,0.5882,MSP-Podcast
Layer 20,20,0.5887,0.0088,0.5853,MSP-Podcast
Layer 21,21,0.5715,0.005,0.5675,MSP-Podcast
Layer 22,22,0.5715,0.0065,0.5646,MSP-Podcast
Layer 23,23,0.5564,0.0068,0.5485,MSP-Podcast
Layer 24,24,0.5245,0.0138,0.5149,MSP-Podcast
CNN,0,0.8766,0.0254,0.8772,EmoDB
Layer 1,1,0.9121,0.0152,0.911,EmoDB
Layer 2,2,0.9308,0.0327,0.9291,EmoDB
Layer 3,3,0.9421,0.0309,0.9416,EmoDB
Layer 4,4,0.9514,0.0254,0.9509,EmoDB
Layer 5,5,0.957,0.0183,0.9566,EmoDB
Layer 6,6,0.9701,0.0109,0.9701,EmoDB
Layer 7,7,0.9757,0.0127,0.9756,EmoDB
Layer 8,8,0.9738,0.0109,0.9735,EmoDB
Layer 9,9,0.9664,0.0075,0.9661,EmoDB
Layer 10,10,0.9533,0.0156,0.9532,EmoDB
Layer 11,11,0.9458,0.0124,0.9458,EmoDB
Layer 12,12,0.9477,0.0095,0.9474,EmoDB
Layer 13,13,0.9234,0.0137,0.9236,EmoDB
Layer 14,14,0.9084,0.0161,0.9081,EmoDB
Layer 15,15,0.9084,0.0208,0.9081,EmoDB
Layer 16,16,0.9103,0.0241,0.9093,EmoDB
Layer 17,17,0.8935,0.0281,0.8928,EmoDB
Layer 18,18,0.9159,0.029,0.9149,EmoDB
Layer 19,19,0.8748,0.0348,0.8736,EmoDB
Layer 20,20,0.8636,0.0449,0.8618,EmoDB
Layer 21,21,0.8037,0.0307,0.8014,EmoDB
Layer 22,22,0.7757,0.0156,0.7708,EmoDB
Layer 23,23,0.7065,0.0531,0.6992,EmoDB
Layer 24,24,0.5832,0.0201,0.5741,EmoDB
