Model,Dataset,Metric,Layer_CNN,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24
HuBERT,EmoDB,cka,0.07766824969892866,0.049642547604034866,0.048556857727420584,0.051001733683290355,0.04667111713080806,0.0428386729628568,0.04409915851692786,0.04557289774161149,0.04116081737396712,0.03783478544462331,0.0409235699059145,0.04039475686024806,0.04100276281312761,0.03711428408045825,0.0319435607544725,0.026015662646778005,0.02691843799630604,0.027461535418517858,0.02996728221379365,0.03073207384504982,0.030617662673962022,0.028547783462310468,0.03890089793298888,0.03588867400848789,0.030774528234234367
HuBERT,EmoDB,procrustes,0.6894472539424896,0.6881403625011444,0.6945842504501343,0.7061221897602081,0.7013753056526184,0.6962620317935944,0.7012616693973541,0.7049908936023712,0.7011210918426514,0.6888436675071716,0.7021311223506927,0.7127902805805206,0.716031402349472,0.7183151841163635,0.7054224908351898,0.674030065536499,0.6763165295124054,0.6843344569206238,0.6906807124614716,0.6895764470100403,0.7046622037887573,0.706310510635376,0.7071806788444519,0.7067619860172272,0.6699065566062927
HuBERT,EmoDB,centroid_transfer,0.44485981308411215,0.4,0.4093457943925234,0.4411214953271028,0.42429906542056073,0.4130841121495327,0.4205607476635514,0.4373831775700935,0.42990654205607476,0.44299065420560746,0.4654205607476635,0.48411214953271026,0.4822429906542056,0.4523364485981308,0.42990654205607476,0.38691588785046727,0.3981308411214953,0.39626168224299063,0.40373831775700936,0.405607476635514,0.40373831775700936,0.40186915887850466,0.4504672897196262,0.44672897196261685,0.37383177570093457
HuBERT,IEMOCAP,cka,0.010163290768536136,0.008837432762116607,0.011247844572872928,0.014082093790084096,0.014394315478146647,0.013686103426404278,0.01373039148463724,0.013628835865590763,0.013444156759481546,0.012885828683566584,0.013602035466581761,0.014310771968039917,0.01477347519281276,0.01403479451668381,0.013553232907898005,0.012970450844856544,0.01353579781556275,0.013027349243015648,0.014788412310831408,0.01585744247269536,0.014914498405297091,0.014396607772187653,0.017815244966743013,0.017862560283979305,0.01214971588120454
HuBERT,IEMOCAP,procrustes,0.6810512542724609,0.7248581349849701,0.7387634515762329,0.7312599420547485,0.7173415124416351,0.7252694070339203,0.7343068420886993,0.7303706705570221,0.7211672961711884,0.7076984941959381,0.7153482437133789,0.7070532441139221,0.7143570482730865,0.7247118651866913,0.717308759689331,0.7060787379741669,0.7119311690330505,0.7300505340099335,0.7451154887676239,0.7550491094589233,0.7439420223236084,0.7268022000789642,0.7369864583015442,0.7373997569084167,0.6869348287582397
HuBERT,IEMOCAP,centroid_transfer,0.39688644688644686,0.3880952380952381,0.42637362637362636,0.42948717948717946,0.43205128205128207,0.40897435897435896,0.4117216117216117,0.3902930402930403,0.3673992673992674,0.3558608058608059,0.3728937728937729,0.35732600732600733,0.36465201465201463,0.36538461538461536,0.3423076923076923,0.3163003663003663,0.323992673992674,0.3382783882783883,0.35201465201465204,0.34615384615384615,0.33498168498168496,0.3758241758241758,0.3913919413919414,0.3860805860805861,0.42747252747252745
HuBERT,SAVEE,cka,0.06981296596414864,0.038734023551443154,0.04039968445140139,0.037558109685940394,0.03185413922457485,0.02686506255804842,0.026764175704639483,0.024495656380210114,0.0214970083226355,0.019487371834783638,0.02245892915978825,0.02145185339969258,0.02105395177835737,0.018994305479740865,0.01707192009999478,0.012375285089270873,0.012854469961987245,0.013007544199854783,0.014456685354568205,0.014025437626972528,0.014459116537349576,0.01620462274159068,0.024500267757419272,0.026328491977953485,0.019329994432076097
HuBERT,SAVEE,procrustes,0.7057516872882843,0.6920441091060638,0.7087870538234711,0.723900705575943,0.7260486483573914,0.7222474217414856,0.7215501070022583,0.7259332239627838,0.7330588698387146,0.7371539175510406,0.7484780550003052,0.7576113194227219,0.7556100338697433,0.7481374442577362,0.7400428652763367,0.733337789773941,0.7424240112304688,0.751608818769455,0.7599649131298065,0.762171745300293,0.7624927759170532,0.7517165243625641,0.7546456009149551,0.7565448731184006,0.7102545201778412
HuBERT,SAVEE,centroid_transfer,0.42916666666666664,0.4375,0.4375,0.41875,0.3854166666666667,0.37916666666666665,0.3875,0.39791666666666664,0.37916666666666665,0.3875,0.40625,0.4,0.4125,0.41458333333333336,0.375,0.35,0.36041666666666666,0.36041666666666666,0.3645833333333333,0.3854166666666667,0.38125,0.34375,0.38958333333333334,0.3958333333333333,0.35833333333333334
HuBERT,AESDD,cka,0.02795864928658178,0.019751203993596055,0.020237658884442154,0.02292347625876547,0.02199996255675228,0.021234894851244312,0.022064648732979066,0.02269090209225996,0.02113377311697526,0.02044145930854579,0.022380037804836057,0.024345604541270858,0.02614423869969246,0.023818826872035903,0.020039068525051898,0.016924565056862337,0.01659463617358594,0.016969579631394425,0.018253714254561862,0.017028330445980178,0.016778567312030056,0.017807097354384713,0.023698516743943014,0.025299090669626937,0.017749372945168804
