feature,mi,monosemanticity,dominant_emotion,mi_sentence,margin_emo_minus_sentence,mi_actor,margin_emo_minus_actor
3711,0.04132768730537891,0.5867188572883606,anger,0.021496505399708994,0.019831181905669917,0.026706143030048705,0.014621544275330207
1305,0.03950661367845977,0.5616629123687744,sadness,0.007949238868298803,0.031557374810160965,0.02933033275026251,0.010176280928197261
6768,0.03938647029878716,0.6847825050354004,anger,0.02017827507438376,0.019208195224403403,0.012718723098538243,0.02666774720024892
1873,0.039113191172140724,0.5756642818450928,sadness,0.007227832812849523,0.031885358359291203,0.029646296553695793,0.00946689461844493
4704,0.03734670483918369,0.6401657462120056,happiness,0.014230728695761459,0.02311597614342223,0.024740029734231447,0.012606675104952243
1038,0.03668826380948069,0.5935571789741516,sadness,0.012466195831498737,0.024222067977981952,0.030492021648834255,0.006196242160646435
7425,0.03629134128448195,0.7297911643981934,disgust,0.02135861369572812,0.01493272758875383,0.018842018549401464,0.017449322735080486
396,0.03608455911977817,0.5034636855125427,happiness,0.02748739686500226,0.008597162254775907,0.017135871737944734,0.018948687381833435
640,0.034475920325341,0.6580334901809692,anger,0.017639196187427035,0.016836724137913962,0.013796775090406032,0.020679145234934963
4172,0.0343187389932026,0.5691877603530884,happiness,0.01888522130482481,0.01543351768837779,0.020187009564780072,0.014131729428422526
2692,0.033388834711494196,0.7648690342903137,anger,0.019763112688275776,0.01362572202321842,0.022476070123633354,0.010912764587860842
2704,0.03292303275187819,0.5470337867736816,happiness,0.028388425038266742,0.004534607713611447,0.01517184510160752,0.01775118765027067
4952,0.03169659712658013,0.5879749059677124,anger,0.029182717622298095,0.002513879504282033,0.020092406960948505,0.011604190165631623
5545,0.027786910612345433,0.5783680081367493,anger,0.020127208511686766,0.007659702100658666,0.018230882053504375,0.009556028558841058
7834,0.02709748153555457,0.6021140813827515,disgust,0.021287609832736493,0.005809871702818076,0.023334413542892868,0.0037630679926617012
3170,0.026869428806749925,0.5431075096130371,anger,0.02189071128578532,0.004978717520964605,0.018702087304894872,0.008167341501855052
7153,0.026710353975620667,0.6270973086357117,sadness,0.007470985955635761,0.019239368019984906,0.018193079233013047,0.00851727474260762
7040,0.026165245359085095,0.6305433511734009,anger,0.0103454072471052,0.015819838111979893,0.0187601233410607,0.007405122018024395
7372,0.024818884881818284,0.5403800010681152,disgust,0.011657473773936729,0.013161411107881556,0.023080889782338024,0.00173799509948026
217,0.024709333078094378,0.6116887331008911,sadness,0.013841115369070994,0.010868217709023385,0.020398665613530504,0.004310667464563874
403,0.024093434465155803,0.5126580595970154,anger,0.01809005690039933,0.0060033775647564715,0.019176660880561226,0.004916773584594577
5550,0.022987928579652015,0.7075735330581665,anger,0.005442272768549035,0.01754565581110298,0.015218334094427959,0.007769594485224057
5291,0.022485430178064512,0.7750560641288757,anger,0.014924331757120225,0.007561098420944287,0.013462822548151166,0.009022607629913346
3351,0.02243801967238581,0.6781584024429321,anger,0.019677870801292775,0.002760148871093035,0.015258722907500657,0.007179296764885153
5627,0.021700361403787137,0.5669808387756348,disgust,0.01691657507877,0.004783786325017136,0.017908351180181276,0.0037920102236058614
1929,0.020583869799311413,0.6600974798202515,anger,0.014331314038803774,0.006252555760507639,0.012184504932018315,0.008399364867293098
5235,0.019875370645097368,0.650554358959198,happiness,0.014350633475563339,0.005524737169534029,0.012735064437217952,0.007140306207879416
5003,0.019862138403429,0.5003758072853088,anger,0.012354667830889732,0.007507470572539268,0.0167880051165394,0.0030741332868895986
1779,0.019270638789359498,0.653532862663269,anger,0.016780613462710543,0.0024900253266489543,0.017713116136352233,0.001557522653007265
4032,0.016667081373157835,0.5148633718490601,anger,0.01181041890370044,0.004856662469457394,0.01206493621907788,0.004602145154079956
3877,0.016314822374465143,0.6150502562522888,anger,0.01212617731253045,0.004188645061934693,0.01428629978570007,0.0020285225887650728
