Layer,Layer_Num,RMSE,Target,SNR
Layer 19,19,0.7193,EmoDom,10
Layer 20,20,0.7195,EmoDom,10
Layer 21,21,0.7234,EmoDom,10
Layer 22,22,0.7306,EmoDom,10
Layer 23,23,0.7346,EmoDom,10
Layer 24,24,0.7413,EmoDom,10
CNN,0,0.9664,EmoVal,0
Layer 1,1,0.969,EmoVal,0
Layer 2,2,0.9555,EmoVal,0
Layer 3,3,0.9314,EmoVal,0
Layer 4,4,0.9218,EmoVal,0
Layer 5,5,0.918,EmoVal,0
Layer 6,6,0.9162,EmoVal,0
Layer 7,7,0.916,EmoVal,0
Layer 8,8,0.9227,EmoVal,0
Layer 9,9,0.9208,EmoVal,0
Layer 10,10,0.9137,EmoVal,0
Layer 11,11,0.9119,EmoVal,0
Layer 12,12,0.9012,EmoVal,0
Layer 13,13,0.8989,EmoVal,0
Layer 14,14,0.8989,EmoVal,0
Layer 15,15,0.9039,EmoVal,0
Layer 16,16,0.9059,EmoVal,0
Layer 17,17,0.9021,EmoVal,0
Layer 18,18,0.9133,EmoVal,0
Layer 19,19,0.9169,EmoVal,0
Layer 20,20,0.9222,EmoVal,0
Layer 21,21,0.9289,EmoVal,0
Layer 22,22,0.9357,EmoVal,0
Layer 23,23,0.9473,EmoVal,0
Layer 24,24,0.9483,EmoVal,0
CNN,0,0.9287,EmoAct,5
Layer 1,1,0.8222,EmoAct,5
Layer 2,2,0.7874,EmoAct,5
Layer 3,3,0.7602,EmoAct,5
Layer 4,4,0.7547,EmoAct,5
Layer 5,5,0.7548,EmoAct,5
Layer 6,6,0.7519,EmoAct,5
Layer 7,7,0.7553,EmoAct,5
Layer 8,8,0.7591,EmoAct,5
Layer 9,9,0.7538,EmoAct,5
Layer 10,10,0.7531,EmoAct,5
Layer 11,11,0.7563,EmoAct,5
Layer 12,12,0.762,EmoAct,5
Layer 13,13,0.7653,EmoAct,5
Layer 14,14,0.7602,EmoAct,5
Layer 15,15,0.7539,EmoAct,5
Layer 16,16,0.7498,EmoAct,5
Layer 17,17,0.7475,EmoAct,5
Layer 18,18,0.7546,EmoAct,5
Layer 19,19,0.7603,EmoAct,5
Layer 20,20,0.7635,EmoAct,5
Layer 21,21,0.7694,EmoAct,5
Layer 22,22,0.7793,EmoAct,5
Layer 23,23,0.7913,EmoAct,5
