Layer,Layer_Num,RMSE,Target,SNR
Layer 5,5,0.7337,EmoAct,20
Layer 6,6,0.7311,EmoAct,20
Layer 7,7,0.7327,EmoAct,20
Layer 8,8,0.7322,EmoAct,20
Layer 9,9,0.7308,EmoAct,20
Layer 10,10,0.7287,EmoAct,20
Layer 11,11,0.7328,EmoAct,20
Layer 12,12,0.7309,EmoAct,20
Layer 13,13,0.7334,EmoAct,20
Layer 14,14,0.7317,EmoAct,20
Layer 15,15,0.7335,EmoAct,20
Layer 16,16,0.7347,EmoAct,20
Layer 17,17,0.7371,EmoAct,20
Layer 18,18,0.7397,EmoAct,20
Layer 19,19,0.7415,EmoAct,20
Layer 20,20,0.7414,EmoAct,20
Layer 21,21,0.7427,EmoAct,20
Layer 22,22,0.741,EmoAct,20
Layer 23,23,0.7414,EmoAct,20
Layer 24,24,0.7454,EmoAct,20
CNN,0,0.7562,EmoDom,0
Layer 1,1,0.748,EmoDom,0
Layer 2,2,0.7387,EmoDom,0
Layer 3,3,0.7332,EmoDom,0
Layer 4,4,0.7299,EmoDom,0
Layer 5,5,0.7311,EmoDom,0
Layer 6,6,0.7303,EmoDom,0
Layer 7,7,0.7295,EmoDom,0
Layer 8,8,0.7279,EmoDom,0
Layer 9,9,0.7289,EmoDom,0
Layer 10,10,0.7256,EmoDom,0
Layer 11,11,0.7285,EmoDom,0
Layer 12,12,0.7288,EmoDom,0
Layer 13,13,0.7297,EmoDom,0
Layer 14,14,0.7297,EmoDom,0
Layer 15,15,0.7331,EmoDom,0
Layer 16,16,0.7365,EmoDom,0
Layer 17,17,0.7398,EmoDom,0
Layer 18,18,0.7416,EmoDom,0
Layer 19,19,0.7429,EmoDom,0
Layer 20,20,0.7406,EmoDom,0
Layer 21,21,0.7409,EmoDom,0
Layer 22,22,0.7415,EmoDom,0
Layer 23,23,0.7382,EmoDom,0
Layer 24,24,0.7406,EmoDom,0
CNN,0,0.9245,EmoVal,20
Layer 1,1,0.9166,EmoVal,20
Layer 2,2,0.9137,EmoVal,20
Layer 3,3,0.9076,EmoVal,20
Layer 4,4,0.906,EmoVal,20
Layer 5,5,0.9024,EmoVal,20
Layer 6,6,0.9003,EmoVal,20
Layer 7,7,0.9022,EmoVal,20
Layer 8,8,0.8971,EmoVal,20
Layer 9,9,0.9014,EmoVal,20
Layer 10,10,0.8953,EmoVal,20
Layer 11,11,0.8917,EmoVal,20
Layer 12,12,0.8887,EmoVal,20
Layer 13,13,0.8862,EmoVal,20
Layer 14,14,0.888,EmoVal,20
Layer 15,15,0.8847,EmoVal,20
Layer 16,16,0.8774,EmoVal,20
Layer 17,17,0.867,EmoVal,20
Layer 18,18,0.8607,EmoVal,20
Layer 19,19,0.8591,EmoVal,20
Layer 20,20,0.8634,EmoVal,20
Layer 21,21,0.8606,EmoVal,20
Layer 22,22,0.8649,EmoVal,20
Layer 23,23,0.8794,EmoVal,20
Layer 24,24,0.8788,EmoVal,20
CNN,0,0.8293,EmoAct,0
Layer 1,1,0.8097,EmoAct,0
Layer 2,2,0.7896,EmoAct,0
Layer 3,3,0.7798,EmoAct,0
Layer 4,4,0.776,EmoAct,0
Layer 5,5,0.7785,EmoAct,0
Layer 6,6,0.7749,EmoAct,0
Layer 7,7,0.7732,EmoAct,0
Layer 8,8,0.7732,EmoAct,0
Layer 9,9,0.7754,EmoAct,0
Layer 10,10,0.7716,EmoAct,0
Layer 11,11,0.772,EmoAct,0
Layer 12,12,0.7737,EmoAct,0
Layer 13,13,0.778,EmoAct,0
Layer 14,14,0.7777,EmoAct,0
Layer 15,15,0.7782,EmoAct,0
Layer 16,16,0.7844,EmoAct,0
Layer 17,17,0.7878,EmoAct,0
Layer 18,18,0.7924,EmoAct,0
Layer 19,19,0.7929,EmoAct,0
Layer 20,20,0.7923,EmoAct,0
Layer 21,21,0.7934,EmoAct,0
Layer 22,22,0.7938,EmoAct,0
Layer 23,23,0.7901,EmoAct,0
Layer 24,24,0.7928,EmoAct,0
CNN,0,0.7314,EmoDom,10
Layer 1,1,0.7247,EmoDom,10
Layer 2,2,0.719,EmoDom,10
Layer 3,3,0.7151,EmoDom,10
Layer 4,4,0.7133,EmoDom,10
Layer 5,5,0.7126,EmoDom,10
Layer 6,6,0.7124,EmoDom,10
Layer 7,7,0.7124,EmoDom,10
Layer 8,8,0.7107,EmoDom,10
Layer 9,9,0.7109,EmoDom,10
Layer 10,10,0.7084,EmoDom,10
Layer 11,11,0.713,EmoDom,10
Layer 12,12,0.713,EmoDom,10
Layer 13,13,0.7128,EmoDom,10
Layer 14,14,0.7115,EmoDom,10
Layer 15,15,0.7125,EmoDom,10
Layer 16,16,0.7155,EmoDom,10
Layer 17,17,0.7184,EmoDom,10
Layer 18,18,0.7197,EmoDom,10
Layer 19,19,0.7192,EmoDom,10
Layer 20,20,0.7201,EmoDom,10
Layer 21,21,0.7198,EmoDom,10
Layer 22,22,0.7213,EmoDom,10
Layer 23,23,0.719,EmoDom,10
Layer 24,24,0.7228,EmoDom,10
CNN,0,0.9483,EmoVal,5
Layer 1,1,0.942,EmoVal,5
Layer 2,2,0.9379,EmoVal,5
Layer 3,3,0.932,EmoVal,5
Layer 4,4,0.9281,EmoVal,5
Layer 5,5,0.9263,EmoVal,5
Layer 6,6,0.9227,EmoVal,5
Layer 7,7,0.9233,EmoVal,5
Layer 8,8,0.9201,EmoVal,5
Layer 9,9,0.9215,EmoVal,5
Layer 10,10,0.9157,EmoVal,5
Layer 11,11,0.9124,EmoVal,5
Layer 12,12,0.9083,EmoVal,5
Layer 13,13,0.9052,EmoVal,5
Layer 14,14,0.9063,EmoVal,5
Layer 15,15,0.9058,EmoVal,5
Layer 16,16,0.9012,EmoVal,5
Layer 17,17,0.8978,EmoVal,5
Layer 18,18,0.8914,EmoVal,5
Layer 19,19,0.8879,EmoVal,5
Layer 20,20,0.891,EmoVal,5
Layer 21,21,0.8884,EmoVal,5
Layer 22,22,0.894,EmoVal,5
Layer 23,23,0.9029,EmoVal,5
Layer 24,24,0.9036,EmoVal,5
CNN,0,0.7848,EmoAct,10
Layer 1,1,0.7729,EmoAct,10
Layer 2,2,0.7556,EmoAct,10
Layer 3,3,0.7506,EmoAct,10
Layer 4,4,0.7509,EmoAct,10
Layer 5,5,0.75,EmoAct,10
Layer 6,6,0.7464,EmoAct,10
Layer 7,7,0.7477,EmoAct,10
Layer 8,8,0.7472,EmoAct,10
Layer 9,9,0.7465,EmoAct,10
Layer 10,10,0.7426,EmoAct,10
Layer 11,11,0.7462,EmoAct,10
Layer 12,12,0.7445,EmoAct,10
Layer 13,13,0.7457,EmoAct,10
Layer 14,14,0.7461,EmoAct,10
Layer 15,15,0.7463,EmoAct,10
Layer 16,16,0.7496,EmoAct,10
Layer 17,17,0.7531,EmoAct,10
Layer 18,18,0.7564,EmoAct,10
Layer 19,19,0.7561,EmoAct,10
Layer 20,20,0.7561,EmoAct,10
Layer 21,21,0.755,EmoAct,10
Layer 22,22,0.7581,EmoAct,10
Layer 23,23,0.7576,EmoAct,10
Layer 24,24,0.7604,EmoAct,10
