Layer,Layer_Num,RMSE,Target,SNR
Layer 20,20,0.7906,EmoAct,0
Layer 21,21,0.7938,EmoAct,0
Layer 22,22,0.7926,EmoAct,0
Layer 23,23,0.7939,EmoAct,0
Layer 24,24,0.794,EmoAct,0
CNN,0,0.7845,EmoAct,10
Layer 1,1,0.7775,EmoAct,10
Layer 2,2,0.7689,EmoAct,10
Layer 3,3,0.7605,EmoAct,10
Layer 4,4,0.7541,EmoAct,10
Layer 5,5,0.753,EmoAct,10
Layer 6,6,0.7553,EmoAct,10
Layer 7,7,0.7531,EmoAct,10
Layer 8,8,0.7539,EmoAct,10
Layer 9,9,0.7517,EmoAct,10
Layer 10,10,0.7521,EmoAct,10
Layer 11,11,0.753,EmoAct,10
Layer 12,12,0.7531,EmoAct,10
Layer 13,13,0.7566,EmoAct,10
Layer 14,14,0.7588,EmoAct,10
Layer 15,15,0.7591,EmoAct,10
Layer 16,16,0.7598,EmoAct,10
Layer 17,17,0.7625,EmoAct,10
Layer 18,18,0.7629,EmoAct,10
Layer 19,19,0.7637,EmoAct,10
Layer 20,20,0.7614,EmoAct,10
Layer 21,21,0.7664,EmoAct,10
Layer 22,22,0.7684,EmoAct,10
Layer 23,23,0.7695,EmoAct,10
Layer 24,24,0.7683,EmoAct,10
CNN,0,0.7485,EmoDom,0
Layer 1,1,0.742,EmoDom,0
Layer 2,2,0.7361,EmoDom,0
Layer 3,3,0.7295,EmoDom,0
Layer 4,4,0.7248,EmoDom,0
Layer 5,5,0.7259,EmoDom,0
Layer 6,6,0.7241,EmoDom,0
Layer 7,7,0.7247,EmoDom,0
Layer 8,8,0.7244,EmoDom,0
Layer 9,9,0.7253,EmoDom,0
Layer 10,10,0.7233,EmoDom,0
Layer 11,11,0.7225,EmoDom,0
Layer 12,12,0.7255,EmoDom,0
Layer 13,13,0.73,EmoDom,0
Layer 14,14,0.73,EmoDom,0
Layer 15,15,0.7287,EmoDom,0
Layer 16,16,0.7313,EmoDom,0
Layer 17,17,0.7315,EmoDom,0
Layer 18,18,0.7336,EmoDom,0
Layer 19,19,0.7338,EmoDom,0
Layer 20,20,0.7349,EmoDom,0
Layer 21,21,0.7362,EmoDom,0
Layer 22,22,0.7353,EmoDom,0
Layer 23,23,0.7352,EmoDom,0
Layer 24,24,0.7349,EmoDom,0
