Layer,Layer_Num,RMSE,Target,SNR
Layer 8,8,0.7198,EmoAct,20
Layer 9,9,0.7188,EmoAct,20
Layer 10,10,0.7177,EmoAct,20
Layer 11,11,0.7172,EmoAct,20
Layer 12,12,0.716,EmoAct,20
Layer 13,13,0.7174,EmoAct,20
Layer 14,14,0.7177,EmoAct,20
Layer 15,15,0.7187,EmoAct,20
Layer 16,16,0.7189,EmoAct,20
Layer 17,17,0.7181,EmoAct,20
Layer 18,18,0.7186,EmoAct,20
Layer 19,19,0.7188,EmoAct,20
Layer 20,20,0.7189,EmoAct,20
Layer 21,21,0.72,EmoAct,20
Layer 22,22,0.7201,EmoAct,20
Layer 23,23,0.7198,EmoAct,20
Layer 24,24,0.7192,EmoAct,20
CNN,0,0.8087,EmoAct,5
Layer 1,1,0.7749,EmoAct,5
Layer 2,2,0.7629,EmoAct,5
Layer 3,3,0.7527,EmoAct,5
Layer 4,4,0.7456,EmoAct,5
Layer 5,5,0.7411,EmoAct,5
Layer 6,6,0.7353,EmoAct,5
Layer 7,7,0.7314,EmoAct,5
Layer 8,8,0.7313,EmoAct,5
Layer 9,9,0.7287,EmoAct,5
Layer 10,10,0.7284,EmoAct,5
Layer 11,11,0.7267,EmoAct,5
Layer 12,12,0.7237,EmoAct,5
Layer 13,13,0.7245,EmoAct,5
Layer 14,14,0.7272,EmoAct,5
Layer 15,15,0.7281,EmoAct,5
Layer 16,16,0.7277,EmoAct,5
Layer 17,17,0.7288,EmoAct,5
Layer 18,18,0.7289,EmoAct,5
Layer 19,19,0.7291,EmoAct,5
Layer 20,20,0.7302,EmoAct,5
Layer 21,21,0.7314,EmoAct,5
Layer 22,22,0.7326,EmoAct,5
Layer 23,23,0.7324,EmoAct,5
Layer 24,24,0.7316,EmoAct,5
CNN,0,0.9543,EmoVal,0
Layer 1,1,0.9528,EmoVal,0
Layer 2,2,0.9444,EmoVal,0
Layer 3,3,0.9368,EmoVal,0
Layer 4,4,0.9275,EmoVal,0
Layer 5,5,0.9169,EmoVal,0
Layer 6,6,0.9093,EmoVal,0
Layer 7,7,0.9045,EmoVal,0
Layer 8,8,0.906,EmoVal,0
Layer 9,9,0.9017,EmoVal,0
Layer 10,10,0.9013,EmoVal,0
Layer 11,11,0.895,EmoVal,0
Layer 12,12,0.8926,EmoVal,0
Layer 13,13,0.8939,EmoVal,0
Layer 14,14,0.8937,EmoVal,0
Layer 15,15,0.8936,EmoVal,0
Layer 16,16,0.8902,EmoVal,0
Layer 17,17,0.8844,EmoVal,0
Layer 18,18,0.8799,EmoVal,0
Layer 19,19,0.8767,EmoVal,0
Layer 20,20,0.8667,EmoVal,0
Layer 21,21,0.8577,EmoVal,0
Layer 22,22,0.8475,EmoVal,0
Layer 23,23,0.841,EmoVal,0
Layer 24,24,0.8373,EmoVal,0
CNN,0,0.9357,EmoVal,10
Layer 1,1,0.9338,EmoVal,10
Layer 2,2,0.9281,EmoVal,10
Layer 3,3,0.9232,EmoVal,10
Layer 4,4,0.9135,EmoVal,10
Layer 5,5,0.9036,EmoVal,10
Layer 6,6,0.8977,EmoVal,10
Layer 7,7,0.8921,EmoVal,10
Layer 8,8,0.8959,EmoVal,10
Layer 9,9,0.8918,EmoVal,10
Layer 10,10,0.8893,EmoVal,10
Layer 11,11,0.8837,EmoVal,10
Layer 12,12,0.882,EmoVal,10
Layer 13,13,0.8839,EmoVal,10
Layer 14,14,0.8841,EmoVal,10
Layer 15,15,0.8824,EmoVal,10
Layer 16,16,0.8771,EmoVal,10
Layer 17,17,0.8708,EmoVal,10
Layer 18,18,0.8675,EmoVal,10
Layer 19,19,0.8639,EmoVal,10
Layer 20,20,0.8558,EmoVal,10
Layer 21,21,0.8454,EmoVal,10
Layer 22,22,0.8365,EmoVal,10
Layer 23,23,0.8301,EmoVal,10
Layer 24,24,0.828,EmoVal,10
