Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples,model,test_lang,n_train,n_test
Layer 12,12,0.5093,,0.4875,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 13,13,0.4969,,0.4608,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 14,14,0.5342,,0.5107,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 15,15,0.5528,,0.5354,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 16,16,0.5259,,0.5116,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 17,17,0.5155,,0.4938,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 18,18,0.5135,,0.4994,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 19,19,0.5404,,0.5272,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 20,20,0.5445,,0.5298,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 21,21,0.5342,,0.5176,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 22,22,0.5238,,0.5067,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 23,23,0.5072,,0.4932,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 24,24,0.5114,,0.5024,LOLO_Greek,,MERT,Greek,3497.0,483.0
CNN,0,0.3264,,0.2597,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 1,1,0.3333,,0.2689,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 2,2,0.3299,,0.2733,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 3,3,0.3247,,0.249,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 4,4,0.3542,,0.2885,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 5,5,0.3524,,0.2965,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 6,6,0.3663,,0.2965,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 7,7,0.4115,,0.3576,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 8,8,0.3924,,0.347,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 9,9,0.3854,,0.3457,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 10,10,0.3646,,0.3021,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 11,11,0.3403,,0.267,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 12,12,0.3681,,0.3092,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 13,13,0.4028,,0.3552,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 14,14,0.3611,,0.3394,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 15,15,0.3576,,0.3084,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 16,16,0.401,,0.3734,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 17,17,0.3767,,0.3357,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 18,18,0.3819,,0.3382,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 19,19,0.3924,,0.3525,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 20,20,0.3785,,0.3446,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 21,21,0.3785,,0.3499,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 22,22,0.3576,,0.3222,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 23,23,0.3733,,0.333,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
Layer 24,24,0.3767,,0.3728,LOLO_Spanish,,MERT,Spanish,3404.0,576.0
