Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples,model,test_lang,n_train,n_test
Layer 19,19,0.5518,,0.5719,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 20,20,0.6072,,0.6327,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 21,21,0.606,,0.6166,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 22,22,0.6025,,0.5914,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 23,23,0.6402,,0.6465,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 24,24,0.4108,,0.4344,LOLO_English,,w2v-BERT,English,1434.0,2546.0
CNN,0,0.2907,,0.2892,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 1,1,0.6267,,0.6382,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 2,2,0.792,,0.803,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 3,3,0.8507,,0.8506,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 4,4,0.8933,,0.8946,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 5,5,0.9147,,0.9137,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 6,6,0.872,,0.8722,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 7,7,0.872,,0.876,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 8,8,0.8773,,0.8795,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 9,9,0.9253,,0.9271,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 10,10,0.8933,,0.8877,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 11,11,0.88,,0.8806,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 12,12,0.8507,,0.8542,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 13,13,0.7547,,0.7767,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 14,14,0.8613,,0.8638,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 15,15,0.7573,,0.7687,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 16,16,0.8773,,0.8746,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 17,17,0.928,,0.9299,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 18,18,0.896,,0.8958,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 19,19,0.8693,,0.8703,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 20,20,0.8507,,0.8544,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 21,21,0.7733,,0.788,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 22,22,0.7893,,0.7931,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 23,23,0.784,,0.7962,LOLO_German,,w2v-BERT,German,3605.0,375.0
Layer 24,24,0.6373,,0.6627,LOLO_German,,w2v-BERT,German,3605.0,375.0
CNN,0,0.2609,,0.2201,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 1,1,0.4327,,0.4222,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 2,2,0.441,,0.4234,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 3,3,0.5321,,0.5227,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 4,4,0.5963,,0.5693,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 5,5,0.5549,,0.5374,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 6,6,0.5673,,0.5363,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 7,7,0.5673,,0.5499,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 8,8,0.5694,,0.5712,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 9,9,0.5839,,0.5608,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 10,10,0.5238,,0.4592,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 11,11,0.6025,,0.567,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 12,12,0.619,,0.5859,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 13,13,0.5776,,0.5512,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 14,14,0.5404,,0.5115,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 15,15,0.6936,,0.6855,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 16,16,0.6418,,0.6151,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 17,17,0.735,,0.7133,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 18,18,0.6791,,0.6661,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 19,19,0.6356,,0.5929,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
