Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 6,6,0.734,0.008,0.7339,w2v-BERT,RAVDESS,5
Layer 7,7,0.7034,0.0219,0.7031,w2v-BERT,RAVDESS,5
Layer 8,8,0.668,0.0199,0.6673,w2v-BERT,RAVDESS,5
Layer 9,9,0.7366,0.0274,0.7355,w2v-BERT,RAVDESS,5
Layer 10,10,0.7409,0.0302,0.7409,w2v-BERT,RAVDESS,5
Layer 11,11,0.7047,0.0191,0.7047,w2v-BERT,RAVDESS,5
Layer 12,12,0.69,0.0179,0.6895,w2v-BERT,RAVDESS,5
Layer 13,13,0.6589,0.0104,0.6591,w2v-BERT,RAVDESS,5
Layer 14,14,0.7003,0.0226,0.7004,w2v-BERT,RAVDESS,5
Layer 15,15,0.7085,0.0175,0.7081,w2v-BERT,RAVDESS,5
Layer 16,16,0.7448,0.0263,0.7447,w2v-BERT,RAVDESS,5
Layer 17,17,0.7595,0.0258,0.7584,w2v-BERT,RAVDESS,5
Layer 18,18,0.7388,0.0351,0.7374,w2v-BERT,RAVDESS,5
Layer 19,19,0.6952,0.0256,0.6941,w2v-BERT,RAVDESS,5
Layer 20,20,0.668,0.0281,0.6665,w2v-BERT,RAVDESS,5
Layer 21,21,0.6187,0.0345,0.6179,w2v-BERT,RAVDESS,5
Layer 22,22,0.5747,0.0417,0.5738,w2v-BERT,RAVDESS,5
Layer 23,23,0.5263,0.0256,0.5238,w2v-BERT,RAVDESS,5
Layer 24,24,0.4586,0.0205,0.4568,w2v-BERT,RAVDESS,5
