Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 9,9,0.9327,0.0232,0.9324,WavLM,EmoDB,10
Layer 10,10,0.929,0.0152,0.9287,WavLM,EmoDB,10
Layer 11,11,0.9196,0.0233,0.919,WavLM,EmoDB,10
Layer 12,12,0.914,0.0109,0.9139,WavLM,EmoDB,10
Layer 13,13,0.9084,0.0092,0.9082,WavLM,EmoDB,10
Layer 14,14,0.9103,0.0201,0.9102,WavLM,EmoDB,10
Layer 15,15,0.9178,0.0124,0.9176,WavLM,EmoDB,10
Layer 16,16,0.9121,0.021,0.9119,WavLM,EmoDB,10
Layer 17,17,0.8991,0.02,0.8982,WavLM,EmoDB,10
Layer 18,18,0.8897,0.0161,0.8891,WavLM,EmoDB,10
Layer 19,19,0.8879,0.0213,0.8878,WavLM,EmoDB,10
Layer 20,20,0.8879,0.0132,0.8875,WavLM,EmoDB,10
Layer 21,21,0.8841,0.0192,0.8821,WavLM,EmoDB,10
Layer 22,22,0.8617,0.0292,0.8594,WavLM,EmoDB,10
Layer 23,23,0.8729,0.0255,0.8703,WavLM,EmoDB,10
Layer 24,24,0.8617,0.0092,0.8596,WavLM,EmoDB,10
CNN,0,0.7757,0.0229,0.7706,WavLM,EmoDB,20
Layer 1,1,0.8636,0.0255,0.8612,WavLM,EmoDB,20
Layer 2,2,0.9252,0.0156,0.9248,WavLM,EmoDB,20
Layer 3,3,0.9402,0.0095,0.9398,WavLM,EmoDB,20
Layer 4,4,0.9327,0.0092,0.9322,WavLM,EmoDB,20
Layer 5,5,0.9477,0.0316,0.9469,WavLM,EmoDB,20
Layer 6,6,0.957,0.0268,0.9566,WavLM,EmoDB,20
Layer 7,7,0.9477,0.0281,0.9474,WavLM,EmoDB,20
Layer 8,8,0.9589,0.0311,0.9585,WavLM,EmoDB,20
Layer 9,9,0.9645,0.0216,0.9644,WavLM,EmoDB,20
Layer 10,10,0.9645,0.015,0.9643,WavLM,EmoDB,20
Layer 11,11,0.9589,0.0192,0.9586,WavLM,EmoDB,20
Layer 12,12,0.9645,0.015,0.9643,WavLM,EmoDB,20
Layer 13,13,0.9589,0.0152,0.9585,WavLM,EmoDB,20
Layer 14,14,0.9551,0.0161,0.9545,WavLM,EmoDB,20
Layer 15,15,0.9589,0.0127,0.9583,WavLM,EmoDB,20
Layer 16,16,0.9589,0.0095,0.9586,WavLM,EmoDB,20
Layer 17,17,0.957,0.0095,0.9564,WavLM,EmoDB,20
Layer 18,18,0.9439,0.0196,0.9435,WavLM,EmoDB,20
Layer 19,19,0.9383,0.0163,0.9378,WavLM,EmoDB,20
Layer 20,20,0.9533,0.0059,0.9523,WavLM,EmoDB,20
Layer 21,21,0.9477,0.014,0.9472,WavLM,EmoDB,20
Layer 22,22,0.9364,0.0208,0.936,WavLM,EmoDB,20
Layer 23,23,0.929,0.0226,0.9282,WavLM,EmoDB,20
Layer 24,24,0.9196,0.0173,0.9184,WavLM,EmoDB,20
CNN,0,0.671,0.0366,0.6658,WavLM,EmoDB,5
Layer 1,1,0.7402,0.0247,0.7346,WavLM,EmoDB,5
Layer 2,2,0.8112,0.0181,0.8078,WavLM,EmoDB,5
Layer 3,3,0.8467,0.0262,0.8422,WavLM,EmoDB,5
Layer 4,4,0.8673,0.0436,0.8646,WavLM,EmoDB,5
Layer 5,5,0.8879,0.0251,0.8855,WavLM,EmoDB,5
Layer 6,6,0.9103,0.021,0.909,WavLM,EmoDB,5
Layer 7,7,0.9084,0.0216,0.9073,WavLM,EmoDB,5
Layer 8,8,0.9215,0.0268,0.92,WavLM,EmoDB,5
Layer 9,9,0.9028,0.0241,0.901,WavLM,EmoDB,5
Layer 10,10,0.9047,0.0124,0.9026,WavLM,EmoDB,5
Layer 11,11,0.9009,0.0337,0.899,WavLM,EmoDB,5
Layer 12,12,0.8897,0.026,0.8884,WavLM,EmoDB,5
Layer 13,13,0.8953,0.0191,0.8941,WavLM,EmoDB,5
Layer 14,14,0.8822,0.0241,0.8812,WavLM,EmoDB,5
Layer 15,15,0.8673,0.0208,0.8662,WavLM,EmoDB,5
