Layer,Layer_Num,Accuracy,Weighted_F1,split,test_lang,n_train,n_test
Layer 13,13,0.6605,0.662,LOLO_Greek,Greek,3497,483
Layer 14,14,0.648,0.6484,LOLO_Greek,Greek,3497,483
Layer 15,15,0.5673,0.5631,LOLO_Greek,Greek,3497,483
Layer 16,16,0.6667,0.657,LOLO_Greek,Greek,3497,483
Layer 17,17,0.6584,0.6387,LOLO_Greek,Greek,3497,483
Layer 18,18,0.6667,0.6571,LOLO_Greek,Greek,3497,483
Layer 19,19,0.6832,0.671,LOLO_Greek,Greek,3497,483
Layer 20,20,0.5797,0.5485,LOLO_Greek,Greek,3497,483
Layer 21,21,0.6273,0.615,LOLO_Greek,Greek,3497,483
Layer 22,22,0.6605,0.6602,LOLO_Greek,Greek,3497,483
Layer 23,23,0.6377,0.6138,LOLO_Greek,Greek,3497,483
Layer 24,24,0.6377,0.619,LOLO_Greek,Greek,3497,483
CNN,0,0.3628,0.2998,LOLO_Spanish,Spanish,3404,576
Layer 1,1,0.4028,0.3536,LOLO_Spanish,Spanish,3404,576
Layer 2,2,0.3906,0.3338,LOLO_Spanish,Spanish,3404,576
Layer 3,3,0.4514,0.4406,LOLO_Spanish,Spanish,3404,576
Layer 4,4,0.4479,0.416,LOLO_Spanish,Spanish,3404,576
Layer 5,5,0.4913,0.4743,LOLO_Spanish,Spanish,3404,576
Layer 6,6,0.5035,0.4904,LOLO_Spanish,Spanish,3404,576
Layer 7,7,0.5503,0.5484,LOLO_Spanish,Spanish,3404,576
Layer 8,8,0.5312,0.534,LOLO_Spanish,Spanish,3404,576
Layer 9,9,0.5312,0.5309,LOLO_Spanish,Spanish,3404,576
Layer 10,10,0.5104,0.5,LOLO_Spanish,Spanish,3404,576
Layer 11,11,0.5295,0.5253,LOLO_Spanish,Spanish,3404,576
Layer 12,12,0.5139,0.4913,LOLO_Spanish,Spanish,3404,576
Layer 13,13,0.5122,0.4897,LOLO_Spanish,Spanish,3404,576
Layer 14,14,0.4983,0.4808,LOLO_Spanish,Spanish,3404,576
Layer 15,15,0.526,0.5132,LOLO_Spanish,Spanish,3404,576
Layer 16,16,0.4809,0.457,LOLO_Spanish,Spanish,3404,576
Layer 17,17,0.5104,0.4784,LOLO_Spanish,Spanish,3404,576
Layer 18,18,0.5295,0.5242,LOLO_Spanish,Spanish,3404,576
Layer 19,19,0.4757,0.4434,LOLO_Spanish,Spanish,3404,576
Layer 20,20,0.4878,0.4726,LOLO_Spanish,Spanish,3404,576
Layer 21,21,0.4861,0.4727,LOLO_Spanish,Spanish,3404,576
Layer 22,22,0.4444,0.4268,LOLO_Spanish,Spanish,3404,576
Layer 23,23,0.4358,0.4045,LOLO_Spanish,Spanish,3404,576
Layer 24,24,0.3819,0.3323,LOLO_Spanish,Spanish,3404,576
