Layer,Layer_Num,Accuracy,Weighted_F1,split,test_lang,n_train,n_test
CNN,0,0.4244,0.406,LOLO_Greek,Greek,3497,483
Layer 1,1,0.5259,0.5209,LOLO_Greek,Greek,3497,483
Layer 2,2,0.4617,0.4319,LOLO_Greek,Greek,3497,483
Layer 3,3,0.5424,0.5336,LOLO_Greek,Greek,3497,483
Layer 4,4,0.5797,0.5729,LOLO_Greek,Greek,3497,483
Layer 5,5,0.6128,0.6138,LOLO_Greek,Greek,3497,483
Layer 6,6,0.6025,0.5859,LOLO_Greek,Greek,3497,483
Layer 7,7,0.6687,0.6637,LOLO_Greek,Greek,3497,483
Layer 8,8,0.6936,0.6852,LOLO_Greek,Greek,3497,483
Layer 9,9,0.6418,0.6041,LOLO_Greek,Greek,3497,483
Layer 10,10,0.6522,0.6083,LOLO_Greek,Greek,3497,483
Layer 11,11,0.6522,0.6206,LOLO_Greek,Greek,3497,483
Layer 12,12,0.6832,0.6528,LOLO_Greek,Greek,3497,483
Layer 13,13,0.6066,0.589,LOLO_Greek,Greek,3497,483
Layer 14,14,0.5714,0.5256,LOLO_Greek,Greek,3497,483
Layer 15,15,0.6025,0.5841,LOLO_Greek,Greek,3497,483
Layer 16,16,0.3685,0.2982,LOLO_Greek,Greek,3497,483
Layer 17,17,0.4244,0.2989,LOLO_Greek,Greek,3497,483
Layer 18,18,0.4348,0.3081,LOLO_Greek,Greek,3497,483
Layer 19,19,0.354,0.277,LOLO_Greek,Greek,3497,483
Layer 20,20,0.4969,0.4111,LOLO_Greek,Greek,3497,483
Layer 21,21,0.4224,0.3255,LOLO_Greek,Greek,3497,483
Layer 22,22,0.2733,0.1439,LOLO_Greek,Greek,3497,483
Layer 23,23,0.5217,0.4665,LOLO_Greek,Greek,3497,483
Layer 24,24,0.3975,0.2871,LOLO_Greek,Greek,3497,483
CNN,0,0.309,0.231,LOLO_Spanish,Spanish,3404,576
Layer 1,1,0.3247,0.2583,LOLO_Spanish,Spanish,3404,576
Layer 2,2,0.3351,0.267,LOLO_Spanish,Spanish,3404,576
Layer 3,3,0.3785,0.3388,LOLO_Spanish,Spanish,3404,576
Layer 4,4,0.3993,0.3643,LOLO_Spanish,Spanish,3404,576
Layer 5,5,0.4583,0.424,LOLO_Spanish,Spanish,3404,576
Layer 6,6,0.5035,0.4896,LOLO_Spanish,Spanish,3404,576
Layer 7,7,0.5,0.4936,LOLO_Spanish,Spanish,3404,576
Layer 8,8,0.5069,0.478,LOLO_Spanish,Spanish,3404,576
Layer 9,9,0.5139,0.4782,LOLO_Spanish,Spanish,3404,576
Layer 10,10,0.5365,0.5318,LOLO_Spanish,Spanish,3404,576
Layer 11,11,0.4774,0.4572,LOLO_Spanish,Spanish,3404,576
Layer 12,12,0.5434,0.537,LOLO_Spanish,Spanish,3404,576
Layer 13,13,0.5174,0.5045,LOLO_Spanish,Spanish,3404,576
Layer 14,14,0.5208,0.5145,LOLO_Spanish,Spanish,3404,576
Layer 15,15,0.4861,0.4677,LOLO_Spanish,Spanish,3404,576
Layer 16,16,0.467,0.4532,LOLO_Spanish,Spanish,3404,576
Layer 17,17,0.4601,0.4393,LOLO_Spanish,Spanish,3404,576
Layer 18,18,0.3906,0.3413,LOLO_Spanish,Spanish,3404,576
Layer 19,19,0.3889,0.3215,LOLO_Spanish,Spanish,3404,576
Layer 20,20,0.4479,0.3976,LOLO_Spanish,Spanish,3404,576
Layer 21,21,0.3472,0.2838,LOLO_Spanish,Spanish,3404,576
Layer 22,22,0.3524,0.2866,LOLO_Spanish,Spanish,3404,576
Layer 23,23,0.3368,0.2517,LOLO_Spanish,Spanish,3404,576
Layer 24,24,0.3681,0.2995,LOLO_Spanish,Spanish,3404,576
