Model,Dataset,Layer_CNN,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24
WavLM,AESDD,0.00034214827,0.0018425148,0.005442369,0.022008864,0.024620328,0.038388602,0.015722537,0.050517894,0.027336463,0.27714515,0.3214035,0.12822314,0.07772286,0.005374976,0.0007320133,0.00025861477,0.00036042224,0.00045216543,0.00062951737,0.0009881472,2.2721611e-05,7.6837296e-08,2.5544356e-08,3.714394e-17,0.0004649316
WavLM,MESD,0.1490234,0.0029951103,0.0072998675,0.041753046,0.040888596,0.024948355,0.13824514,0.05526924,0.025637832,0.21102162,0.16315591,0.05827003,0.03060102,0.03992472,0.004868454,0.0019365292,0.0009438433,0.0007643561,0.00022347116,0.00010490896,3.6573947e-05,4.164876e-06,1.290105e-08,3.108009e-11,0.002083789
WavLM,MSP-Podcast,0.026693448,0.031725354,0.049906187,0.07771158,0.04882315,0.027991157,0.049369514,0.028590223,0.03489584,0.08542243,0.09339348,0.06635852,0.06115712,0.031908564,0.008119008,0.0063862326,0.013803028,0.015134607,0.047325917,0.029184233,0.013818437,0.0008317315,4.655535e-06,8.1178846e-13,0.15144572
MERT,RAVDESS,8.822432e-08,4.5766706e-09,2.9429923e-09,2.6626499e-09,3.964942e-09,4.4755517e-08,1.21434995e-08,3.5276273e-08,5.868171e-07,9.767249e-07,9.422705e-08,1.6594388e-06,5.841598e-06,0.00032632158,0.0386172,0.09390026,0.003485839,0.06193494,0.0015920142,8.534958e-05,3.826605e-05,5.0258777e-06,3.6176039e-06,7.9130143e-07,0.80000114
MERT,EmoDB,0.027046513,0.0010566175,0.0011838172,0.0036872257,0.03696155,0.12834796,0.05252071,0.08874261,0.02310143,0.008079439,0.023753595,0.04900136,0.16113113,0.123621024,0.15935025,0.025271818,0.019606983,0.013997418,0.0074289553,0.005241841,0.0036404964,0.0033092492,0.006606436,0.02128042,0.006031099
MERT,IEMOCAP,0.20049898,1.8834693e-05,8.34646e-06,0.0013309701,0.00011454367,0.0005609171,0.02793164,0.067748554,0.044679202,0.0149001675,0.009828778,0.025603969,0.005349639,0.0011920624,0.00019136276,2.040705e-05,5.182082e-06,1.5618203e-06,1.2535711e-06,3.4442303e-06,5.472957e-07,9.780694e-07,4.373911e-06,4.5990864e-06,0.6
MERT,SAVEE,0.00030138792,0.16955532,0.029250199,0.00065456796,0.00018913265,2.750268e-05,8.782679e-06,2.7078843e-06,1.5387537e-06,3.752928e-06,2.8450104e-06,1.756545e-06,6.40341e-07,1.807978e-07,2.2011781e-07,3.864222e-07,2.6867684e-07,2.0725847e-07,2.8720333e-07,3.7874344e-07,5.7494464e-07,4.8284556e-07,4.9029705e-07,8.4991586e-07,0.7999956
MERT,AESDD,0.00027567838,0.0010629527,0.0018727388,0.009155067,0.10060638,0.044945527,0.1077442,0.039460175,0.052631754,0.059843622,0.1429425,0.069048904,0.056975402,0.031826366,0.018974593,0.022689532,0.019077586,0.012156638,0.0055845673,0.002523539,0.000231224,0.00017917715,9.477946e-05,2.5308444e-05,0.20007178
MERT,MESD,8.947958e-05,4.8694972e-05,0.00072254345,0.0010010377,0.004733707,0.0014809316,0.006456765,0.032729816,0.003489425,0.011008008,0.0056848098,0.12279357,0.02512385,0.06098063,0.010597495,0.044185486,0.028747495,0.017211113,0.0052923225,0.013309136,0.003591185,0.00029419572,0.00037523007,4.448932e-05,0.6000088
MERT,MSP-Podcast,0.043243572,0.005731277,0.0030954252,0.0032747244,0.0031483688,0.007799617,0.008543933,0.0068053575,0.0058765006,0.0056591225,0.041750573,0.054207604,0.057290353,0.011108255,0.01023473,0.005578994,0.012418457,0.0069312095,0.0070135877,0.0029661637,0.0019185189,0.0028725788,0.0023813772,0.0014311189,0.6887187
w2v-BERT,RAVDESS,3.4784384e-06,1.3457493e-05,0.0004083523,0.055522513,0.00018045327,9.49228e-05,3.6022073e-05,1.1589867e-05,2.2979479e-05,1.3707444e-05,1.0501825e-05,5.276464e-06,2.1853166e-05,4.857554e-05,3.6901067e-05,0.00022208338,0.0023484104,0.9375067,0.0027162516,0.00028485173,0.00025633146,0.0001394962,5.1947492e-05,2.3035296e-05,2.0284537e-05
w2v-BERT,EmoDB,0.14388964,0.0013175167,0.0023316047,0.09449449,0.005672925,0.093900464,0.007166207,0.0014923324,0.00040194095,0.11850361,0.0029801459,0.00045313296,0.00034748338,0.0005797211,0.0012036191,0.0031613768,0.020585392,0.45167747,0.04289786,0.0037180777,0.0015859992,0.00048196176,0.00041260236,0.00031617697,0.00042822878
w2v-BERT,IEMOCAP,0.027800431,0.01649843,0.031347603,0.16870384,0.0025326074,0.12936282,0.003059167,0.0012671064,0.0010990879,0.0137704555,0.075341776,0.008203208,0.0027324946,0.0020303158,0.0033073449,0.0044652075,0.021023078,0.4212059,0.05602982,0.004830875,0.0021647508,0.0007197449,0.0008538223,0.0006708514,0.000978883
w2v-BERT,SAVEE,0.24612613,0.12735027,0.40925464,0.11029446,0.001832184,0.0005363933,0.00019947879,0.00019296982,0.0003445382,0.00023578429,0.00020262864,0.000131932,0.00015456442,0.00020305588,0.00043391268,0.0008433422,0.005164415,0.08581497,0.00669588,0.0011201908,0.0011693786,0.0005070911,0.00038346543,0.00031903695,0.0004892783
w2v-BERT,AESDD,0.00016920024,0.00012827989,0.00059671095,0.016879944,0.0024338756,0.23675032,0.0048589497,0.00066970376,0.0002815404,0.1464996,0.0037695325,0.00093505403,0.00056617,0.0008616347,0.0015361037,0.003293405,0.015835647,0.38950673,0.16161333,0.007427516,0.0034839723,0.001075739,0.00041777286,0.00019990242,0.00020939791
w2v-BERT,MESD,0.12748757,0.0039754296,0.007587374,0.21005125,0.004782204,0.091288164,0.004988756,0.00094077096,0.00044809203,0.00261214,0.015493068,0.004921085,0.0014306469,0.0013460312,0.0016990384,0.005242006,0.024750207,0.07593526,0.40141863,0.0091779735,0.0024146151,0.0006179734,0.00029930403,0.0003568526,0.0007355672
w2v-BERT,MSP-Podcast,0.00041404334,0.0010131069,0.0018815805,0.06949173,0.005138115,0.1340873,0.005800685,0.0011919037,0.0005957914,0.07966499,0.43147144,0.024601314,0.0033063584,0.0055190474,0.008011486,0.016543526,0.07260593,0.12162781,0.00794732,0.002518285,0.0022575466,0.001675295,0.0010859112,0.00075358985,0.0007963049
