feature,mi,monosemanticity,dominant_emotion
4072,0.021334887788742075,0.6093459725379944,anger
5275,0.021298906610064137,0.5944608449935913,anger
2832,0.021158926894279232,0.6227623820304871,anger
2036,0.02093824088229908,0.5892945528030396,disgust
6755,0.020690362824756375,0.5990338325500488,fear
1929,0.020583869799311413,0.6600974798202515,anger
3071,0.02052738894740991,0.5712167024612427,anger
5700,0.020501555900437278,0.6098901033401489,anger
7333,0.020384629650433934,0.6853733062744141,anger
6173,0.019892156337116745,0.5465393662452698,anger
3034,0.019888733460644275,0.5669415593147278,disgust
5235,0.019875370645097368,0.650554358959198,happiness
5003,0.019862138403429,0.5003758072853088,anger
4038,0.019475519076580683,0.6048018932342529,sadness
7865,0.019434177966770123,0.6284978985786438,anger
1779,0.019270638789359498,0.653532862663269,anger
3665,0.01913540840592443,0.5475946664810181,anger
5459,0.018958301243448272,0.536867618560791,anger
6997,0.018881622325171477,0.5473950505256653,anger
5374,0.01862885146724294,0.5624392628669739,anger
4880,0.01848483029236761,0.5023952126502991,anger
2509,0.018460488895713632,0.6837657690048218,sadness
8178,0.018245991977281533,0.5756417512893677,neutral
6711,0.01823138771231591,0.5682896375656128,disgust
2432,0.017988889775925693,0.5688990354537964,disgust
2712,0.017854414160062056,0.6212873458862305,anger
5763,0.017738101829238476,0.5483594536781311,anger
3828,0.017727860948196828,0.6340246796607971,disgust
7173,0.017645355536536046,0.7014285922050476,fear
3425,0.017397206644138016,0.5784671902656555,anger
7509,0.017362295072908672,0.5413728356361389,anger
4187,0.01719986246485277,0.6647531390190125,disgust
8189,0.01708921672642964,0.6125684380531311,anger
4032,0.016667081373157835,0.5148633718490601,anger
3089,0.016542027882253924,0.5988438129425049,fear
4428,0.01638545001181111,0.5083308815956116,anger
3877,0.016314822374465143,0.6150502562522888,anger
6895,0.015540317549918435,0.765483021736145,anger
7128,0.015539284888743343,0.53038489818573,anger
4797,0.015364332603124394,0.500731348991394,anger
233,0.015267519412958652,0.597537636756897,disgust
4374,0.015009972384196487,0.52829509973526,anger
5725,0.01490244311846909,0.6028022766113281,anger
185,0.014767325459286874,0.5504217147827148,disgust
2209,0.014728880743096966,0.5515722632408142,anger
1312,0.01448934847702174,0.5317396521568298,disgust
718,0.014483422544689253,0.5885812044143677,disgust
694,0.014380066964245819,0.5139198899269104,anger
7805,0.014375098749153012,0.5891746878623962,fear
5021,0.014263368936826325,0.5211561322212219,anger
2444,0.01413754205881013,0.6944929957389832,fear
