file,step,metric,value
step1_HuBERT_CREMA-D_L19_metrics.json,step1,explained_variance,0.9406388653676064
step1_HuBERT_CREMA-D_L19_metrics.json,step1,dead_features,5
step1_HuBERT_CREMA-D_L19_metrics.json,step1,alive_features,8187
step1_HuBERT_CREMA-D_L19_metrics.json,step1,dead_frac,0.0006103515625
step1_HuBERT_CREMA-D_L19_metrics.json,step1,median_density_alive,0.0016644102297949637
step1_HuBERT_CREMA-D_L1_metrics.json,step1,tag,HuBERT_CREMA-D_L1
step1_HuBERT_CREMA-D_L1_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L1_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L1_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L1_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L1_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L1_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L1_metrics.json,step1,final_fvu,0.1160179414077919
step1_HuBERT_CREMA-D_L1_metrics.json,step1,final_recon_mse,0.11565674096345901
step1_HuBERT_CREMA-D_L1_metrics.json,step1,explained_variance,0.8839820585922081
step1_HuBERT_CREMA-D_L1_metrics.json,step1,dead_features,134
step1_HuBERT_CREMA-D_L1_metrics.json,step1,alive_features,8058
step1_HuBERT_CREMA-D_L1_metrics.json,step1,dead_frac,0.016357421875
step1_HuBERT_CREMA-D_L1_metrics.json,step1,median_density_alive,0.00042647188635640927
step1_HuBERT_CREMA-D_L20_metrics.json,step1,tag,HuBERT_CREMA-D_L20
step1_HuBERT_CREMA-D_L20_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L20_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L20_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L20_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L20_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L20_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L20_metrics.json,step1,final_fvu,0.06179516254664687
step1_HuBERT_CREMA-D_L20_metrics.json,step1,final_recon_mse,0.06162872910499573
step1_HuBERT_CREMA-D_L20_metrics.json,step1,explained_variance,0.9382048374533531
